GEONAME,LNTITLE,GEOID,LNNUMBER,TOT_EST,TOT_MOE,ADU_EST,ADU_MOE,CIT_EST,CIT_MOE,CVAP_EST,CVAP_MOE
United States,Total,01000US,1,301461535,,227279010,9624,280035680,106698,208196325,103762
United States,Not Hispanic or Latino,01000US,2,255984595,2622,197564000,7455,247131800,51084,189683760,50250
United States,American Indian or Alaska Native Alone,01000US,3,2043315,8032,1462665,6118,2030610,8177,1451430,6244
United States,Asian Alone,01000US,4,13175045,17949,10159080,8579,9321525,18323,6730455,16785
United States,Black or African American Alone,01000US,5,36714525,22982,26247405,9311,35238445,23492,24962205,14635
United States,Native Hawaiian or Other Pacific Islander Alone,01000US,6,415555,4329,304710,2781,360135,4065,257125,3099
United States,White Alone,01000US,7,199005750,4591,156988735,3706,195618155,26545,153938560,22600
United States,American Indian or Alaska Native and White,01000US,8,1345900,7905,978820,5845,1343130,7919,976355,5844
United States,Asian and White,01000US,9,1043590,16017,458260,8459,1015570,15787,435170,8155
United States,Black or African American and White,01000US,10,1297045,17182,392385,5985,1279910,16997,378005,5759
United States,American Indian or Alaska Native and Black or African American,01000US,11,246945,6249,182195,4185,245875,6252,181215,4181
United States,Remainder of Two or More Race Responses,01000US,12,696925,11576,389750,7194,678450,11382,373250,7169
United States,Hispanic or Latino,01000US,13,45476940,2631,29715005,3549,32903885,63617,18512565,59471
