GEONAME,LNTITLE,GEOID,LNNUMBER,TOT_EST,TOT_MOE,ADU_EST,ADU_MOE,CIT_EST,CIT_MOE,CVAP_EST,CVAP_MOE
United States,Total,01000US,1,306603770,,232556020,7318,284485620,122064,212664800,116652
United States,Not Hispanic or Latino,01000US,2,257388210,2115,200077405,6253,248298040,53190,191943225,51663
United States,American Indian or Alaska Native Alone,01000US,3,2061450,7466,1472240,5289,2049660,7353,1461680,5180
United States,Asian Alone,01000US,4,14488565,21624,11301855,11251,10301120,17130,7556460,16738
United States,Black or African American Alone,01000US,5,37649855,22980,27165695,9804,36143265,21465,25851350,13723
United States,Native Hawaiian or Other Pacific Islander Alone,01000US,6,475750,4333,344245,2948,408660,4415,286165,3503
United States,White Alone,01000US,7,197256500,2922,156973500,2438,194053245,25187,154064820,21424
United States,American Indian or Alaska Native and White,01000US,8,1424625,7076,1017035,5252,1421735,7233,1014625,5349
United States,Asian and White,01000US,9,1312645,20179,613160,11106,1257660,19534,568150,10619
United States,Black or African American and White,01000US,10,1562445,19472,483950,6775,1541905,19356,466455,6558
United States,American Indian or Alaska Native and Black or African American,01000US,11,267405,5161,194250,3674,266030,5106,193075,3620
United States,Remainder of Two or More Race Responses,01000US,12,888965,11412,511480,7442,854760,11251,480445,7214
United States,Hispanic or Latino,01000US,13,49215565,2118,32478615,2484,36187575,76583,20721575,71082
