GEONAME,LNTITLE,GEOID,LNNUMBER,TOT_EST,TOT_MOE,ADU_EST,ADU_MOE,CIT_EST,CIT_MOE,CVAP_EST,CVAP_MOE
United States,Total,01000US,1,309138710,,235158850,6340,286993615,120138,215144520,114018
United States,Not Hispanic or Latino,01000US,2,258593435,1528,201680605,5339,249427050,54433,193458270,51230
United States,American Indian or Alaska Native Alone,01000US,3,2064270,9037,1482895,6398,2052210,9141,1472125,6417
United States,Asian Alone,01000US,4,14860025,20870,11635110,11597,10596395,18639,7812935,16291
United States,Black or African American Alone,01000US,5,37987960,23566,27603830,9941,36465805,22037,26273655,12505
United States,Native Hawaiian or Other Pacific Islander Alone,01000US,6,487765,4960,354835,2983,417630,4642,293700,3031
United States,White Alone,01000US,7,197397810,2445,157595095,2272,194233165,25561,154710805,21901
United States,American Indian or Alaska Native and White,01000US,8,1453945,8922,1042290,6118,1450815,8945,1039750,6112
United States,Asian and White,01000US,9,1423085,20315,671035,11256,1356045,20049,616430,10753
United States,Black or African American and White,01000US,10,1678455,18829,533305,7612,1657840,18639,515535,7485
United States,American Indian or Alaska Native and Black or African American,01000US,11,275555,6287,199335,4255,273725,6277,197780,4208
United States,Remainder of Two or More Race Responses,01000US,12,964565,11692,562875,7033,923415,11588,525560,6831
United States,Hispanic or Latino,01000US,13,50545275,1531,33478250,1921,37566560,74542,21686250,69696
