table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,,
"Table 3. Intercensal Estimates of the Resident Population by Sex, Race, and Hispanic Origin for Texas: April 1, 2000 to July 1, 2010",,,,,,,,,,,,,
"Sex, Race, and Hispanic Origin","April 1, 20001",Intercensal Estimates (as of July 1),,,,,,,,,,"April 1, 20102","July 1, 20103"
,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,,
..One Race,"3,380,569","3,414,634","3,534,505","3,659,905","3,780,509","3,899,585","4,023,905","4,164,364","4,311,572","4,458,992","4,606,796","4,709,903","4,749,159"
...White,"3,293,998","3,326,539","3,439,398","3,557,126","3,669,932","3,780,494","3,894,712","4,022,524","4,155,785","4,288,420","4,420,308","4,511,500","4,549,206"
...Black,"36,914","37,324","40,722","44,345","47,598","51,112","55,415","60,926","66,872","73,036","79,185","83,472","84,259"
...AIAN,"35,222","36,062","38,897","42,082","45,841","49,979","54,719","60,425","66,821","73,814","81,883","88,431","89,012"
...Asian,"9,602","9,792","10,440","11,183","11,864","12,605","13,558","14,790","16,154","17,535","18,974","19,913","20,051"
...NHPI,"4,833","4,917","5,048","5,169","5,274","5,395","5,501","5,699","5,940","6,187","6,446","6,587","6,631"
..Two or More Races,"15,605","16,368","19,235","22,392","25,578","29,138","32,485","36,583","40,902","45,374","50,068","53,850","54,047"
FEMALE,"10,498,547","10,545,156","10,731,190","10,914,653","11,095,953","11,278,402","11,470,439","11,771,243","12,010,572","12,249,936","12,500,150","12,673,281","12,726,805"
.One Race,"10,397,256","10,442,213","10,619,888","10,795,006","10,967,625","11,141,274","11,323,995","11,613,160","11,840,589","12,068,001","12,305,880","12,469,287","12,521,486"
..White,"8,752,299","8,788,437","8,917,615","9,045,385","9,172,329","9,299,945","9,431,896","9,610,992","9,780,196","9,945,558","10,115,009","10,229,825","10,272,234"
..Black,"1,269,866","1,273,833","1,298,718","1,322,398","1,344,977","1,368,245","1,393,949","1,472,806","1,499,052","1,528,531","1,563,372","1,588,188","1,593,699"
..AIAN,"67,907","68,654","72,365","76,126","79,958","84,347","89,123","94,856","101,143","108,338","116,303","122,346","123,074"
..Asian,"297,269","301,249","320,683","340,155","358,929","376,874","396,657","421,525","446,425","471,107","496,082","513,410","516,860"
..NHPI,"9,915","10,040","10,507","10,942","11,432","11,863","12,370","12,981","13,773","14,467","15,114","15,518","15,619"
.Two or More Races,"101,291","102,943","111,302","119,647","128,328","137,128","146,444","158,083","169,983","181,935","194,270","203,994","205,319"
.NOT HISPANIC,"7,225,088","7,236,290","7,297,925","7,352,101","7,403,453","7,457,130","7,516,082","7,664,182","7,744,776","7,827,002","7,917,108","7,976,113","7,992,983"
..One Race,"7,139,543","7,149,774","7,205,693","7,254,340","7,300,175","7,348,462","7,401,409","7,541,752","7,614,762","7,689,471","7,771,969","7,824,973","7,840,750"
...White,"5,580,297","5,583,193","5,597,749","5,606,441","5,614,398","5,624,935","5,636,929","5,679,583","5,707,862","5,734,981","5,764,747","5,780,170","5,787,620"
...Black,"1,230,987","1,234,526","1,255,902","1,276,090","1,295,105","1,314,667","1,335,941","1,408,845","1,428,930","1,452,223","1,480,646","1,501,104","1,505,862"
...AIAN,"35,006","34,961","35,821","36,494","37,025","37,626","38,106","38,764","39,336","40,005","40,541","40,964","41,162"
...Asian,"287,759","291,543","310,346","329,091","347,056","364,317","383,170","406,896","430,467","453,651","477,015","493,393","496,701"
...NHPI,"5,494","5,551","5,875","6,224","6,591","6,917","7,263","7,664","8,167","8,611","9,020","9,342","9,405"
..Two or More Races,"85,545","86,516","92,232","97,761","103,278","108,668","114,673","122,430","130,014","137,531","145,139","151,140","152,233"
.HISPANIC,"3,273,459","3,308,866","3,433,265","3,562,552","3,692,500","3,821,272","3,954,357","4,107,061","4,265,796","4,422,934","4,583,042","4,697,168","4,733,822"
..One Race,"3,257,713","3,292,439","3,414,195","3,540,666","3,667,450","3,792,812","3,922,586","4,071,408","4,225,827","4,378,530","4,533,911","4,644,314","4,680,736"
...White,"3,172,002","3,205,244","3,319,866","3,438,944","3,557,931","3,675,010","3,794,967","3,931,409","4,072,334","4,210,577","4,350,262","4,449,655","4,484,614"
...Black,"38,879","39,307","42,816","46,308","49,872","53,578","58,008","63,961","70,122","76,308","82,726","87,084","87,837"
...AIAN,"32,901","33,693","36,544","39,632","42,933","46,721","51,017","56,092","61,807","68,333","75,762","81,382","81,912"
...Asian,"9,510","9,706","10,337","11,064","11,873","12,557","13,487","14,629","15,958","17,456","19,067","20,017","20,159"
...NHPI,"4,421","4,489","4,632","4,718","4,841","4,946","5,107","5,317","5,606","5,856","6,094","6,176","6,214"
..Two or More Races,"15,746","16,427","19,070","21,886","25,050","28,460","31,771","35,653","39,969","44,404","49,131","52,854","53,086"
"1 The April 1, 2000 Population Estimates base reflects changes to the Census 2000 population from the Count Question Resolution program, legal boundary updates, and other geographic program revisions.  The original race data from 
Census 2000 are modified to reclassify the Some Other Race category.  For more information see http://www.census.gov/popest/research/modified.html.",,,,,,,,,,,,,
"2 The data source for April 1, 2010 is the 2010 Census count.  The original race data from the 2010 Census are modified to reclassify the Some Other Race category.  For more information see 
http://www.census.gov/popest/methodology/2000-2010_Intercensal_Estimates_Methodology.pdf.",,,,,,,,,,,,,
"3 The values for July 1, 2010 were produced by applying estimates of change in the population between April 1 and July 1 of 2010 to the 2010 Census counts.  Further details on this methodology are available
 at http://www.census.gov/popest/methodology/2000-2010_Intercensal_Estimates_Methodology.pdf.",,,,,,,,,,,,,
"Note: Hispanic origin is considered an ethnicity, not a race.  Hispanics may be of any race.  Abbreviations: Black = Black or African American; AIAN = American Indian and Alaska Native; 
NHPI = Native Hawaiian and Other Pacific Islander.",,,,,,,,,,,,,
Suggested Citation:,,,,,,,,,,,,,
"Table 3. Intercensal Estimates of the Resident Population by Sex, Race, and Hispanic Origin for Texas: April 1, 2000 to July 1, 2010 (ST-EST2010-03-48)",,,,,,,,,,,,,
"Source: U.S. Census Bureau, Population Division",,,,,,,,,,,,,
Release Date: October 2012,,,,,,,,,,,,,
