GEONAME,LNTITLE,GEOID,LNNUMBER,TOT_EST,TOT_MOE,ADU_EST,ADU_MOE,CIT_EST,CIT_MOE,CVAP_EST,CVAP_MOE
United States,Total,01000US,1,321004405,0,247403130,6907,298666640,129166,226926205,125166
United States,Not Hispanic or Latino,01000US,2,264493835,1542,209061420,5865,254785145,47367,200314640,46485
United States,American Indian or Alaska Native Alone,01000US,3,2112490,7367,1550815,5193,2100040,7472,1539725,5363
United States,Asian Alone,01000US,4,17197160,23136,13725055,12303,12398045,18737,9388600,17005
United States,Black or African American Alone,01000US,5,39688400,31781,29645055,14769,38135390,28144,28281660,14479
United States,Native Hawaiian or Other Pacific Islander Alone,01000US,6,526750,4150,395125,2665,456575,4531,333240,3095
United States,White Alone,01000US,7,197791010,1342,159862825,1227,194700545,21371,157041920,18505
United States,American Indian or Alaska Native and White,01000US,8,1551725,7575,1148365,6206,1548010,7514,1144905,6149
United States,Asian and White,01000US,9,1890790,22525,953155,12620,1779145,21956,863485,11941
United States,Black or African American and White,01000US,10,2231260,25075,824400,10425,2209525,24902,805720,10407
United States,American Indian or Alaska Native and Black or African American,01000US,11,292530,5897,218885,4417,291075,5879,217665,4409
United States,Remainder of Two or More Race Responses,01000US,12,1211720,14657,737735,8765,1166795,14404,697715,8615
United States,Hispanic or Latino,01000US,13,56510570,1542,38341710,2137,43881500,86129,26611570,82533
