GEONAME,LNTITLE,GEOID,LNNUMBER,TOT_EST,TOT_MOE,ADU_EST,ADU_MOE,CIT_EST,CIT_MOE,CVAP_EST,CVAP_MOE
United States,Total,01000US,1,311536595,,237659115,6360,289401590,110415,217576960,106175
United States,Not Hispanic or Latino,01000US,2,259750005,1508,203207970,5530,250558425,49007,194956155,46238
United States,American Indian or Alaska Native Alone,01000US,3,2074995,8050,1498265,5697,2062825,7972,1487290,5561
United States,Asian Alone,01000US,4,15237200,19067,11963335,10397,10926795,20018,8098590,18878
United States,Black or African American Alone,01000US,5,38294925,23100,28009035,10979,36769010,22295,26673160,14212
United States,Native Hawaiian or Other Pacific Islander Alone,01000US,6,497625,4809,362170,3089,426945,4604,300610,3337
United States,White Alone,01000US,7,197529430,2421,158169505,2157,194407935,22000,155319725,18751
United States,American Indian or Alaska Native and White,01000US,8,1473125,8386,1061730,6001,1470085,8461,1059170,6051
United States,Asian and White,01000US,9,1521580,18889,732040,10707,1442115,18752,666315,10237
United States,Black or African American and White,01000US,10,1797700,19249,589195,8370,1777010,18974,571185,8175
United States,American Indian or Alaska Native and Black or African American,01000US,11,282975,5106,206640,3856,281500,5088,205435,3830
United States,Remainder of Two or More Race Responses,01000US,12,1040445,12267,616055,7916,994210,12214,574675,7726
United States,Hispanic or Latino,01000US,13,51786590,1522,34451150,1835,38843165,70656,22620810,67373
