GEONAME,LNTITLE,GEOID,LNNUMBER,TOT_EST,TOT_MOE,ADU_EST,ADU_MOE,CIT_EST,CIT_MOE,CVAP_EST,CVAP_MOE
United States,Total,01000US,1,318558160,,244945725,7597,296343215,118940,224603560,116747
United States,Not Hispanic or Latino,01000US,2,263359055,1247,207693380,6214,253824715,47874,199101185,45462
United States,American Indian or Alaska Native Alone,01000US,3,2098895,6844,1532800,5682,2087135,6780,1522240,5623
United States,Asian Alone,01000US,4,16625230,20866,13204890,11100,11972355,21788,9008655,19077
United States,Black or African American Alone,01000US,5,39330375,29897,29243735,12682,37790820,29383,27889175,15927
United States,Native Hawaiian or Other Pacific Islander Alone,01000US,6,519960,4071,386250,2777,446450,3748,322090,2906
United States,White Alone,01000US,7,197855810,1910,159602410,1873,194778780,20178,156786710,17683
United States,American Indian or Alaska Native and White,01000US,8,1542330,7048,1138340,5672,1538655,7040,1134910,5618
United States,Asian and White,01000US,9,1799620,20829,895630,10972,1693660,20807,809795,10648
United States,Black or African American and White,01000US,10,2119725,24310,761935,9483,2098900,24162,743920,9155
United States,American Indian or Alaska Native and Black or African American,01000US,11,292815,6867,217995,4777,291265,6814,216715,4754
United States,Remainder of Two or More Race Responses,01000US,12,1174290,12896,709395,8061,1126690,12734,666970,7937
United States,Hispanic or Latino,01000US,13,55199105,1241,37252345,2142,42518500,78360,25502380,76620
