Year,Districts,Estimate; Total:,Estimate; Not Hispanic or Latino:,Estimate; Not Hispanic or Latino: - White alone,Estimate; Not Hispanic or Latino: - Black or African American alone,Estimate; Not Hispanic or Latino: - American Indian and Alaska Native alone,Estimate; Not Hispanic or Latino: - Asian alone,Estimate; Not Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Estimate; Not Hispanic or Latino: - Some other race alone,Estimate; Not Hispanic or Latino: - Two or more races:,Estimate; Not Hispanic or Latino: - Two or more races: - Two races including Some other race,"Estimate; Not Hispanic or Latino: - Two or more races: - Two races excluding Some other race, and three or more races",Estimate; Hispanic or Latino:,Estimate; Hispanic or Latino: - White alone,Estimate; Hispanic or Latino: - Black or African American alone,Estimate; Hispanic or Latino: - American Indian and Alaska Native alone,Estimate; Hispanic or Latino: - Asian alone,Estimate; Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Estimate; Hispanic or Latino: - Some other race alone,Estimate; Hispanic or Latino: - Two or more races:,Estimate; Hispanic or Latino: - Two or more races: - Two races including Some other race,"Estimate; Hispanic or Latino: - Two or more races: - Two races excluding Some other race, and three or more races"
2005,Congressional District 1,664756.0,586811.0,456662.0,118701.0,2577.0,3119.0,0.0,341.0,5411.0,0.0,5411.0,77945.0,44751.0,0.0,101.0,0.0,0.0,32234.0,859.0,778.0,81.0
2005,Congressional District 2,685115.0,575260.0,405872.0,138731.0,1583.0,20978.0,376.0,2254.0,5466.0,517.0,4949.0,109855.0,61156.0,1823.0,581.0,716.0,0.0,43365.0,2214.0,2151.0,63.0
2005,Congressional District 3,793790.0,628674.0,440910.0,88218.0,2487.0,86094.0,104.0,3113.0,7748.0,712.0,7036.0,165116.0,98784.0,958.0,530.0,289.0,0.0,61708.0,2847.0,2390.0,457.0
2005,Congressional District 4,709717.0,633937.0,540849.0,65817.0,4496.0,8777.0,681.0,1174.0,12143.0,514.0,11629.0,75780.0,48375.0,831.0,129.0,357.0,0.0,23603.0,2485.0,1825.0,660.0
2005,Congressional District 5,669399.0,554305.0,453144.0,82398.0,3609.0,9293.0,183.0,599.0,5079.0,81.0,4998.0,115094.0,73575.0,201.0,351.0,0.0,56.0,38635.0,2276.0,1975.0,301.0
2005,Congressional District 6,725580.0,579190.0,430952.0,105639.0,1978.0,22942.0,656.0,4084.0,12939.0,1249.0,11690.0,146390.0,69255.0,415.0,840.0,241.0,255.0,72332.0,3052.0,2595.0,457.0
2005,Congressional District 7,712888.0,540044.0,420078.0,50253.0,2001.0,56269.0,431.0,1519.0,9493.0,626.0,8867.0,172844.0,114200.0,1372.0,531.0,228.0,0.0,52026.0,4487.0,3130.0,1357.0
2005,Congressional District 8,714823.0,633761.0,567320.0,49013.0,4163.0,6651.0,397.0,273.0,5944.0,162.0,5782.0,81062.0,49439.0,594.0,1139.0,125.0,0.0,27211.0,2554.0,2061.0,493.0
2005,Congressional District 9,670003.0,398797.0,94547.0,229810.0,880.0,67780.0,534.0,1555.0,3691.0,515.0,3176.0,271206.0,203678.0,1236.0,75.0,139.0,803.0,62624.0,2651.0,2214.0,437.0
2005,Congressional District 10,792644.0,607766.0,491566.0,63973.0,2333.0,39475.0,0.0,1120.0,9299.0,1310.0,7989.0,184878.0,126716.0,1502.0,1630.0,576.0,208.0,48551.0,5695.0,4379.0,1316.0
2005,Congressional District 11,646112.0,432823.0,399045.0,22484.0,2593.0,3466.0,0.0,819.0,4416.0,672.0,3744.0,213289.0,146392.0,955.0,877.0,160.0,0.0,59851.0,5054.0,3326.0,1728.0
2005,Congressional District 12,730087.0,546219.0,469182.0,40204.0,4180.0,23491.0,497.0,1794.0,6871.0,573.0,6298.0,183868.0,89938.0,763.0,3047.0,160.0,0.0,81326.0,8634.0,6430.0,2204.0
2005,Congressional District 13,623544.0,497813.0,450976.0,27511.0,2789.0,7756.0,57.0,401.0,8323.0,214.0,8109.0,125731.0,63231.0,212.0,1808.0,0.0,272.0,56489.0,3719.0,2800.0,919.0
2005,Congressional District 14,700548.0,510843.0,415102.0,66516.0,2638.0,16476.0,218.0,1324.0,8569.0,194.0,8375.0,189705.0,123922.0,1853.0,1343.0,188.0,0.0,57866.0,4533.0,3102.0,1431.0
2005,Congressional District 15,722494.0,191298.0,166473.0,14097.0,2291.0,4709.0,0.0,2325.0,1403.0,68.0,1335.0,531196.0,368965.0,555.0,1840.0,92.0,0.0,155259.0,4485.0,4293.0,192.0
