Year,Districts,Estimate; Total:,Estimate; Not Hispanic or Latino:,Estimate; Not Hispanic or Latino: - White alone,Estimate; Not Hispanic or Latino: - Black or African American alone,Estimate; Not Hispanic or Latino: - American Indian and Alaska Native alone,Estimate; Not Hispanic or Latino: - Asian alone,Estimate; Not Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Estimate; Not Hispanic or Latino: - Some other race alone,Estimate; Not Hispanic or Latino: - Two or more races:,Estimate; Not Hispanic or Latino: - Two or more races: - Two races including Some other race,"Estimate; Not Hispanic or Latino: - Two or more races: - Two races excluding Some other race, and three or more races",Estimate; Hispanic or Latino:,Estimate; Hispanic or Latino: - White alone,Estimate; Hispanic or Latino: - Black or African American alone,Estimate; Hispanic or Latino: - American Indian and Alaska Native alone,Estimate; Hispanic or Latino: - Asian alone,Estimate; Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Estimate; Hispanic or Latino: - Some other race alone,Estimate; Hispanic or Latino: - Two or more races:,Estimate; Hispanic or Latino: - Two or more races: - Two races including Some other race,"Estimate; Hispanic or Latino: - Two or more races: - Two races excluding Some other race, and three or more races"
2013,Congressional District 1,712524.0,594071.0,450720.0,126501.0,993.0,6023.0,165.0,536.0,9133.0,1337.0,7796.0,118453.0,99339.0,835.0,70.0,21.0,0.0,15455.0,2733.0,1398.0,1335.0
2013,Congressional District 2,722575.0,496764.0,370803.0,56750.0,1958.0,53356.0,845.0,1863.0,11189.0,1192.0,9997.0,225811.0,152804.0,2040.0,1691.0,79.0,142.0,63210.0,5845.0,4309.0,1536.0
2013,Congressional District 3,765486.0,650133.0,461798.0,67934.0,2116.0,99049.0,411.0,1378.0,17447.0,844.0,16603.0,115353.0,98298.0,518.0,751.0,469.0,51.0,10882.0,4384.0,2622.0,1762.0
2013,Congressional District 4,710641.0,621569.0,518901.0,77813.0,3840.0,6923.0,439.0,237.0,13416.0,313.0,13103.0,89072.0,62335.0,483.0,125.0,0.0,91.0,21307.0,4731.0,1835.0,2896.0
2013,Congressional District 5,726896.0,524306.0,392789.0,103603.0,2986.0,12977.0,649.0,714.0,10588.0,928.0,9660.0,202590.0,143956.0,842.0,996.0,498.0,0.0,50852.0,5446.0,3388.0,2058.0
2013,Congressional District 6,730955.0,576732.0,384594.0,139703.0,2368.0,35300.0,183.0,575.0,14009.0,833.0,13176.0,154223.0,120464.0,1928.0,2686.0,48.0,0.0,21942.0,7155.0,3136.0,4019.0
2013,Congressional District 7,741599.0,531980.0,326328.0,101794.0,1493.0,83085.0,176.0,4026.0,15078.0,1342.0,13736.0,209619.0,174056.0,3682.0,1570.0,625.0,0.0,21907.0,7779.0,1650.0,6129.0
2013,Congressional District 8,761764.0,590797.0,498870.0,64339.0,824.0,17015.0,60.0,259.0,9430.0,92.0,9338.0,170967.0,125819.0,1251.0,1414.0,267.0,0.0,38717.0,3499.0,1860.0,1639.0
2013,Congressional District 9,736852.0,465938.0,86388.0,285163.0,1044.0,81013.0,172.0,1440.0,10718.0,481.0,10237.0,270914.0,183895.0,5604.0,727.0,269.0,0.0,76992.0,3427.0,1148.0,2279.0
2013,Congressional District 10,758585.0,541977.0,402871.0,81609.0,1073.0,40017.0,56.0,1785.0,14566.0,1092.0,13474.0,216608.0,176442.0,1859.0,2968.0,152.0,0.0,29700.0,5487.0,2935.0,2552.0
2013,Congressional District 11,729613.0,469907.0,424341.0,25035.0,2480.0,6742.0,934.0,951.0,9424.0,473.0,8951.0,259706.0,199825.0,2085.0,1956.0,83.0,0.0,48959.0,6798.0,3281.0,3517.0
2013,Congressional District 12,732246.0,568035.0,475739.0,50701.0,3380.0,22480.0,589.0,740.0,14406.0,970.0,13436.0,164211.0,116631.0,1217.0,820.0,306.0,262.0,37450.0,7525.0,3102.0,4423.0
2013,Congressional District 13,700874.0,521790.0,455368.0,36945.0,3025.0,12768.0,522.0,331.0,12831.0,352.0,12479.0,179084.0,147095.0,2425.0,1798.0,567.0,0.0,19353.0,7846.0,3472.0,4374.0
2013,Congressional District 14,716592.0,545532.0,373371.0,139427.0,2063.0,21371.0,168.0,253.0,8879.0,222.0,8657.0,171060.0,140421.0,1760.0,702.0,766.0,0.0,21993.0,5418.0,1998.0,3420.0
