Year,Districts,Estimate; Total:,Estimate; Not Hispanic or Latino:,Estimate; Not Hispanic or Latino: - White alone,Estimate; Not Hispanic or Latino: - Black or African American alone,Estimate; Not Hispanic or Latino: - American Indian and Alaska Native alone,Estimate; Not Hispanic or Latino: - Asian alone,Estimate; Not Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Estimate; Not Hispanic or Latino: - Some other race alone,Estimate; Not Hispanic or Latino: - Two or more races:,Estimate; Not Hispanic or Latino: - Two or more races: - Two races including Some other race,"Estimate; Not Hispanic or Latino: - Two or more races: - Two races excluding Some other race, and three or more races",Estimate; Hispanic or Latino:,Estimate; Hispanic or Latino: - White alone,Estimate; Hispanic or Latino: - Black or African American alone,Estimate; Hispanic or Latino: - American Indian and Alaska Native alone,Estimate; Hispanic or Latino: - Asian alone,Estimate; Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Estimate; Hispanic or Latino: - Some other race alone,Estimate; Hispanic or Latino: - Two or more races:,Estimate; Hispanic or Latino: - Two or more races: - Two races including Some other race,"Estimate; Hispanic or Latino: - Two or more races: - Two races excluding Some other race, and three or more races"
2009,Texas,24782302,15632614,11546095,2786724,69321,872351,17527,44400,296196,15131,281065,9149688,6731010,70023,69709,11078,1812,2031100,234956,142700,92256
2009,Congressional District 1,710414,613020,471227,126784,1549,4586,167,502,8205,421,7784,97394,71594,1811,2034,39,0,18984,2932,2099,833
2009,Congressional District 2,749676,587949,401780,152394,994,19456,2324,1943,9058,421,8637,161727,99874,1833,1022,196,0,49956,8846,3667,5179
2009,Congressional District 3,872895,673254,469847,83295,3110,98080,432,1760,16730,776,15954,199641,116175,1318,338,457,0,72404,8949,5559,3390
2009,Congressional District 4,818462,718547,598464,84752,4982,12952,831,807,15759,597,15162,99915,72731,1799,159,0,73,19442,5711,3806,1905
2009,Congressional District 5,723374,571855,443165,96152,3370,16526,231,1469,10942,131,10811,151519,106201,1272,292,0,226,38652,4876,3473,1403
2009,Congressional District 6,805442,615430,433487,131540,3952,32018,517,1168,12748,410,12338,190012,123179,2444,7799,553,0,52679,3358,2647,711
2009,Congressional District 7,786667,603510,451761,71027,1332,68579,272,1905,8634,579,8055,183157,138759,1004,211,1110,80,38380,3613,2174,1439
2009,Congressional District 8,808773,695323,603169,66981,1822,11617,940,602,10192,51,10141,113450,93107,625,578,0,0,16646,2494,1591,903
2009,Congressional District 9,738166,431372,95350,255504,574,75234,0,889,3821,0,3821,306794,215734,6264,2750,857,299,78269,2621,1535,1086
2009,Congressional District 10,943301,680924,503675,101337,1871,60171,182,1419,12269,438,11831,262377,173327,2241,1228,894,0,76584,8103,5678,2425
2009,Congressional District 11,693432,450755,407444,27552,2234,6414,71,731,6309,444,5865,242677,193899,1430,3217,0,59,35090,8982,4920,4062
2009,Congressional District 12,820289,583860,490263,58454,3816,19642,731,885,10069,1451,8618,236429,142738,1101,454,254,248,86988,4646,3591,1055
2009,Congressional District 13,657065,508263,445028,36811,4524,9803,271,1321,10505,253,10252,148802,106284,1802,852,461,0,32852,6551,4255,2296
2009,Congressional District 14,760299,547710,442733,66683,2575,24362,338,1540,9479,559,8920,212589,173259,1990,1250,0,0,29837,6253,3605,2648
2009,Congressional District 15,768767,153166,129004,11764,680,6269,0,1125,4324,198,4126,615601,491539,774,1420,332,0,114589,6947,6004,943
2009,Congressional District 16,713169,133611,97566,18516,2907,8478,356,1169,4619,861,3758,579558,466145,3080,2673,277,63,95529,11791,9625,2166
2009,Congressional District 17,749966,598232,500372,72281,1778,13476,679,455,9191,955,8236,151734,112655,1704,1577,458,17,30649,4674,2473,2201
2009,Congressional District 18,740571,427711,129976,261858,1728,26647,484,1703,5315,397,4918,312860,236439,3252,2098,263,0,64357,6451,2935,3516
2009,Congressional District 19,679701,452226,396865,33273,2418,7156,461,3606,8447,817,7630,227475,154944,2678,1522,244,0,58874,9213,6973,2240
2009,Congressional District 20,700692,208871,140071,48688,1451,9211,1219,1836,6395,753,5642,491821,370041,3942,2491,806,0,105231,9310,6768,2542
2009,Congressional District 21,837900,604996,510867,50337,3301,26173,1040,1162,12116,451,11665,232904,166552,1965,4611,593,0,48311,10872,4811,6061
2009,Congressional District 22,895488,654428,419340,120335,1340,98832,221,2027,12333,1321,11012,241060,178431,2721,2474,763,0,48554,8117,4490,3627
2009,Congressional District 23,804574,278602,230487,22421,1532,14377,44,1954,7787,180,7607,525972,421058,4977,7426,427,542,80343,11199,5718,5481
2009,Congressional District 24,791663,578595,392662,98104,1756,68637,2573,1830,13033,543,12490,213068,142167,3578,2016,392,0,57995,6920,4526,2394
2009,Congressional District 25,810390,501294,411709,61841,1950,13506,104,1334,10850,617,10233,309096,182713,1648,4394,329,0,111064,8948,5645,3303
2009,Congressional District 26,907036,717819,560963,111182,2374,26164,319,1758,15059,407,14652,189217,118770,2461,1282,123,0,47005,19576,4525,15051
2009,Congressional District 27,714243,193740,164875,15580,1426,7497,0,1068,3294,272,3022,520503,468767,1638,1189,219,0,42547,6143,3928,2215
2009,Congressional District 28,817105,167199,148266,9762,435,4537,362,267,3570,60,3510,649906,550326,1120,2539,82,0,88637,7202,5501,1701
2009,Congressional District 29,675095,171201,94346,60622,1200,9877,0,2786,2370,225,2145,503894,388445,2675,4534,316,0,102160,5764,5050,714
2009,Congressional District 30,752686,436749,134125,279325,1033,11195,217,1186,9668,174,9494,315937,176881,1710,1676,184,0,125893,9593,7504,2089
2009,Congressional District 31,857673,683488,527433,102939,3667,28536,1797,1119,17997,136,17861,174185,120817,2067,711,208,0,41476,8906,4639,4267
2009,Congressional District 32,677328,388914,299775,48630,1640,32343,344,1074,5108,233,4875,288414,157459,1099,2892,241,205,121123,5395,2985,2410
