Year,Districts,Estimate; Total:,Estimate; Not Hispanic or Latino:,Estimate; Not Hispanic or Latino: - White alone,Estimate; Not Hispanic or Latino: - Black or African American alone,Estimate; Not Hispanic or Latino: - American Indian and Alaska Native alone,Estimate; Not Hispanic or Latino: - Asian alone,Estimate; Not Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Estimate; Not Hispanic or Latino: - Some other race alone,Estimate; Not Hispanic or Latino: - Two or more races:,Estimate; Not Hispanic or Latino: - Two or more races: - Two races including Some other race,"Estimate; Not Hispanic or Latino: - Two or more races: - Two races excluding Some other race, and three or more races",Estimate; Hispanic or Latino:,Estimate; Hispanic or Latino: - White alone,Estimate; Hispanic or Latino: - Black or African American alone,Estimate; Hispanic or Latino: - American Indian and Alaska Native alone,Estimate; Hispanic or Latino: - Asian alone,Estimate; Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Estimate; Hispanic or Latino: - Some other race alone,Estimate; Hispanic or Latino: - Two or more races:,Estimate; Hispanic or Latino: - Two or more races: - Two races including Some other race,"Estimate; Hispanic or Latino: - Two or more races: - Two races excluding Some other race, and three or more races"
2006,Congressional District 1,692352.0,608578.0,470401.0,124308.0,1400.0,5058.0,299.0,450.0,6662.0,506.0,6156.0,83774.0,45690.0,647.0,126.0,119.0,0.0,34917.0,2275.0,1809.0,466.0
2006,Congressional District 2,747541.0,620442.0,423842.0,159565.0,1558.0,26587.0,298.0,3402.0,5190.0,386.0,4804.0,127099.0,65398.0,1541.0,1343.0,61.0,0.0,54522.0,4234.0,2099.0,2135.0
2006,Congressional District 3,813428.0,644419.0,451725.0,91627.0,2474.0,88895.0,0.0,1609.0,8089.0,218.0,7871.0,169009.0,94585.0,1021.0,147.0,429.0,0.0,68458.0,4369.0,3974.0,395.0
2006,Congressional District 4,780736.0,692167.0,581447.0,81158.0,5276.0,12826.0,85.0,1626.0,9749.0,870.0,8879.0,88569.0,53573.0,455.0,649.0,45.0,0.0,30627.0,3220.0,2401.0,819.0
2006,Congressional District 5,714216.0,586115.0,470625.0,91196.0,2671.0,13410.0,100.0,1262.0,6851.0,838.0,6013.0,128101.0,74189.0,1339.0,294.0,33.0,0.0,48546.0,3700.0,3091.0,609.0
2006,Congressional District 6,752355.0,592144.0,434415.0,116730.0,3129.0,27449.0,317.0,1184.0,8920.0,211.0,8709.0,160211.0,83174.0,918.0,550.0,885.0,0.0,70356.0,4328.0,3161.0,1167.0
2006,Congressional District 7,763161.0,591823.0,449394.0,70413.0,1413.0,60894.0,274.0,2196.0,7239.0,700.0,6539.0,171338.0,110060.0,1015.0,192.0,786.0,0.0,56704.0,2581.0,2366.0,215.0
2006,Congressional District 8,764463.0,672848.0,592134.0,60170.0,3405.0,9350.0,93.0,109.0,7587.0,744.0,6843.0,91615.0,48525.0,417.0,399.0,258.0,0.0,40077.0,1939.0,1385.0,554.0
2006,Congressional District 9,697784.0,412491.0,92079.0,246479.0,1088.0,67098.0,277.0,1168.0,4302.0,1012.0,3290.0,285293.0,178672.0,3688.0,945.0,431.0,0.0,96267.0,5290.0,3952.0,1338.0
2006,Congressional District 10,849012.0,634144.0,490444.0,80504.0,2216.0,47674.0,0.0,1912.0,11394.0,981.0,10413.0,214868.0,123373.0,1159.0,1268.0,513.0,57.0,82467.0,6031.0,4629.0,1402.0
