Year,Districts,Estimate; Total:,Estimate; Not Hispanic or Latino:,Estimate; Not Hispanic or Latino: - White alone,Estimate; Not Hispanic or Latino: - Black or African American alone,Estimate; Not Hispanic or Latino: - American Indian and Alaska Native alone,Estimate; Not Hispanic or Latino: - Asian alone,Estimate; Not Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Estimate; Not Hispanic or Latino: - Some other race alone,Estimate; Not Hispanic or Latino: - Two or more races:,Estimate; Not Hispanic or Latino: - Two or more races: - Two races including Some other race,"Estimate; Not Hispanic or Latino: - Two or more races: - Two races excluding Some other race, and three or more races",Estimate; Hispanic or Latino:,Estimate; Hispanic or Latino: - White alone,Estimate; Hispanic or Latino: - Black or African American alone,Estimate; Hispanic or Latino: - American Indian and Alaska Native alone,Estimate; Hispanic or Latino: - Asian alone,Estimate; Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Estimate; Hispanic or Latino: - Some other race alone,Estimate; Hispanic or Latino: - Two or more races:,Estimate; Hispanic or Latino: - Two or more races: - Two races including Some other race,"Estimate; Hispanic or Latino: - Two or more races: - Two races excluding Some other race, and three or more races"
2014,Congressional District 1,712779.0,592801.0,446123.0,130498.0,1909.0,7464.0,941.0,529.0,5337.0,90.0,5247.0,119978.0,101302.0,1881.0,833.0,65.0,0.0,13355.0,2542.0,1357.0,1185.0
2014,Congressional District 2,737492.0,511072.0,374247.0,68478.0,1412.0,49866.0,1503.0,1796.0,13770.0,191.0,13579.0,226420.0,146581.0,2681.0,1656.0,73.0,0.0,69779.0,5650.0,3956.0,1694.0
2014,Congressional District 3,792608.0,676285.0,472021.0,70761.0,2395.0,108199.0,514.0,3122.0,19273.0,1553.0,17720.0,116323.0,90397.0,1100.0,523.0,496.0,151.0,17343.0,6313.0,2866.0,3447.0
2014,Congressional District 4,719372.0,621741.0,520664.0,72368.0,3805.0,6113.0,562.0,52.0,18177.0,144.0,18033.0,97631.0,61202.0,1535.0,424.0,0.0,27.0,32171.0,2272.0,1312.0,960.0
2014,Congressional District 5,734553.0,531700.0,383137.0,114805.0,2273.0,18047.0,278.0,464.0,12696.0,779.0,11917.0,202853.0,165553.0,494.0,969.0,0.0,29.0,30589.0,5219.0,2679.0,2540.0
2014,Congressional District 6,737480.0,570871.0,379242.0,141285.0,1662.0,30790.0,663.0,1028.0,16201.0,386.0,15815.0,166609.0,124394.0,3570.0,4633.0,230.0,135.0,23955.0,9692.0,4836.0,4856.0
2014,Congressional District 7,770950.0,528684.0,332774.0,97974.0,554.0,82576.0,49.0,1474.0,13283.0,652.0,12631.0,242266.0,199342.0,4406.0,283.0,268.0,0.0,32657.0,5310.0,2108.0,3202.0
2014,Congressional District 8,767431.0,606714.0,507068.0,60887.0,1127.0,22425.0,687.0,624.0,13896.0,1096.0,12800.0,160717.0,131775.0,886.0,703.0,0.0,0.0,22672.0,4681.0,1310.0,3371.0
2014,Congressional District 9,772152.0,480982.0,81091.0,290620.0,1029.0,94996.0,489.0,1386.0,11371.0,673.0,10698.0,291170.0,187839.0,6444.0,807.0,758.0,94.0,90133.0,5095.0,3236.0,1859.0
2014,Congressional District 10,771009.0,556438.0,427705.0,74114.0,880.0,38999.0,87.0,1629.0,13024.0,406.0,12618.0,214571.0,167048.0,1436.0,1824.0,664.0,0.0,37437.0,6162.0,2631.0,3531.0
