Year,Districts,Estimate; Total:,Estimate; Not Hispanic or Latino:,Estimate; Not Hispanic or Latino: - White alone,Estimate; Not Hispanic or Latino: - Black or African American alone,Estimate; Not Hispanic or Latino: - American Indian and Alaska Native alone,Estimate; Not Hispanic or Latino: - Asian alone,Estimate; Not Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Estimate; Not Hispanic or Latino: - Some other race alone,Estimate; Not Hispanic or Latino: - Two or more races:,Estimate; Not Hispanic or Latino: - Two or more races: - Two races including Some other race,"Estimate; Not Hispanic or Latino: - Two or more races: - Two races excluding Some other race, and three or more races",Estimate; Hispanic or Latino:,Estimate; Hispanic or Latino: - White alone,Estimate; Hispanic or Latino: - Black or African American alone,Estimate; Hispanic or Latino: - American Indian and Alaska Native alone,Estimate; Hispanic or Latino: - Asian alone,Estimate; Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Estimate; Hispanic or Latino: - Some other race alone,Estimate; Hispanic or Latino: - Two or more races:,Estimate; Hispanic or Latino: - Two or more races: - Two races including Some other race,"Estimate; Hispanic or Latino: - Two or more races: - Two races excluding Some other race, and three or more races"
2017,Congressional District 1,717376.0,589267.0,441381.0,124887.0,1201.0,9226.0,375.0,1325.0,10872.0,385.0,10487.0,128109.0,111243.0,1805.0,2329.0,0.0,0.0,9700.0,3032.0,1890.0,1142.0
2017,Congressional District 2,772262.0,524686.0,349306.0,90541.0,1176.0,61060.0,719.0,3674.0,18210.0,604.0,17606.0,247576.0,173389.0,2502.0,633.0,538.0,0.0,60845.0,9669.0,3454.0,6215.0
2017,Congressional District 3,870763.0,740345.0,492327.0,84927.0,2644.0,136275.0,598.0,1470.0,22104.0,2352.0,19752.0,130418.0,104273.0,600.0,1123.0,253.0,0.0,16912.0,7257.0,3040.0,4217.0
2017,Congressional District 4,747188.0,639371.0,532803.0,75462.0,6049.0,8112.0,360.0,630.0,15955.0,608.0,15347.0,107817.0,74381.0,606.0,560.0,94.0,31.0,28766.0,3379.0,1797.0,1582.0
2017,Congressional District 5,769579.0,544358.0,401622.0,108331.0,2793.0,19109.0,356.0,1196.0,10951.0,225.0,10726.0,225221.0,193525.0,2700.0,1259.0,23.0,61.0,22701.0,4952.0,2206.0,2746.0
2017,Congressional District 6,792043.0,605523.0,374606.0,167437.0,2059.0,35035.0,1053.0,3175.0,22158.0,225.0,21933.0,186520.0,140446.0,4186.0,716.0,197.0,165.0,32813.0,7997.0,3487.0,4510.0
2017,Congressional District 7,800081.0,556892.0,334609.0,112943.0,3398.0,88467.0,0.0,1745.0,15730.0,653.0,15077.0,243189.0,183480.0,2921.0,1891.0,279.0,0.0,49406.0,5212.0,2075.0,3137.0
2017,Congressional District 8,863498.0,666774.0,545664.0,77807.0,2007.0,26925.0,123.0,1528.0,12720.0,301.0,12419.0,196724.0,168182.0,1038.0,900.0,258.0,173.0,21638.0,4535.0,2526.0,2009.0
2017,Congressional District 9,789535.0,467310.0,79890.0,285008.0,768.0,90475.0,268.0,767.0,10134.0,1037.0,9097.0,322225.0,227242.0,5096.0,705.0,1017.0,230.0,80809.0,7126.0,3431.0,3695.0
2017,Congressional District 10,846261.0,599873.0,440186.0,86325.0,1570.0,52912.0,59.0,1963.0,16858.0,2049.0,14809.0,246388.0,156769.0,3655.0,1933.0,885.0,104.0,72808.0,10234.0,4749.0,5485.0
2017,Congressional District 11,759467.0,462239.0,417605.0,27568.0,1960.0,7069.0,473.0,679.0,6885.0,155.0,6730.0,297228.0,222475.0,1242.0,3528.0,508.0,82.0,60207.0,9186.0,4136.0,5050.0
2017,Congressional District 12,806551.0,615571.0,495745.0,68889.0,3415.0,26564.0,704.0,1789.0,18465.0,107.0,18358.0,190980.0,135208.0,1460.0,1657.0,235.0,45.0,46079.0,6296.0,3337.0,2959.0
2017,Congressional District 13,713480.0,519398.0,449081.0,37741.0,3133.0,12213.0,1540.0,1775.0,13915.0,275.0,13640.0,194082.0,152493.0,701.0,2248.0,213.0,0.0,27463.0,10964.0,5304.0,5660.0
2017,Congressional District 14,765031.0,566223.0,377438.0,148483.0,1335.0,25579.0,486.0,924.0,11978.0,354.0,11624.0,198808.0,163123.0,4392.0,2933.0,382.0,46.0,20020.0,7912.0,2797.0,5115.0
2017,Congressional District 15,790730.0,140099.0,113852.0,13712.0,713.0,8239.0,145.0,343.0,3095.0,311.0,2784.0,650631.0,545205.0,1648.0,1322.0,324.0,227.0,87057.0,14848.0,11373.0,3475.0
2017,Congressional District 16,742384.0,140762.0,97072.0,24482.0,2000.0,9334.0,495.0,478.0,6901.0,0.0,6901.0,601622.0,474298.0,2220.0,1736.0,1239.0,317.0,108945.0,12867.0,5192.0,7675.0
2017,Congressional District 17,771567.0,569385.0,417455.0,97512.0,1398.0,36953.0,284.0,2338.0,13445.0,701.0,12744.0,202182.0,162977.0,2164.0,2414.0,1596.0,0.0,27468.0,5563.0,3181.0,2382.0
2017,Congressional District 18,800402.0,447502.0,129100.0,273010.0,441.0,34011.0,1064.0,1659.0,8217.0,286.0,7931.0,352900.0,271902.0,3769.0,1853.0,89.0,76.0,69339.0,5872.0,2568.0,3304.0
