Year,Districts,Estimate; Total:,Estimate; Not Hispanic or Latino:,Estimate; Not Hispanic or Latino: - White alone,Estimate; Not Hispanic or Latino: - Black or African American alone,Estimate; Not Hispanic or Latino: - American Indian and Alaska Native alone,Estimate; Not Hispanic or Latino: - Asian alone,Estimate; Not Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Estimate; Not Hispanic or Latino: - Some other race alone,Estimate; Not Hispanic or Latino: - Two or more races:,Estimate; Not Hispanic or Latino: - Two or more races: - Two races including Some other race,"Estimate; Not Hispanic or Latino: - Two or more races: - Two races excluding Some other race, and three or more races",Estimate; Hispanic or Latino:,Estimate; Hispanic or Latino: - White alone,Estimate; Hispanic or Latino: - Black or African American alone,Estimate; Hispanic or Latino: - American Indian and Alaska Native alone,Estimate; Hispanic or Latino: - Asian alone,Estimate; Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Estimate; Hispanic or Latino: - Some other race alone,Estimate; Hispanic or Latino: - Two or more races:,Estimate; Hispanic or Latino: - Two or more races: - Two races including Some other race,"Estimate; Hispanic or Latino: - Two or more races: - Two races excluding Some other race, and three or more races"
2011,Congressional District 1,731785.0,615513.0,468436.0,131697.0,1837.0,7055.0,76.0,260.0,6152.0,77.0,6075.0,116272.0,95527.0,2728.0,363.0,0.0,120.0,14770.0,2764.0,1548.0,1216.0
2011,Congressional District 2,798167.0,620312.0,400453.0,179384.0,2777.0,26160.0,512.0,2859.0,8167.0,1014.0,7153.0,177855.0,126942.0,3365.0,1370.0,503.0,0.0,40045.0,5630.0,2181.0,3449.0
2011,Congressional District 3,871241.0,671751.0,442192.0,90067.0,2559.0,110704.0,431.0,551.0,25247.0,1158.0,24089.0,199490.0,115573.0,1975.0,0.0,280.0,0.0,70498.0,11164.0,7226.0,3938.0
2011,Congressional District 4,856105.0,738097.0,609128.0,92725.0,6229.0,13207.0,1329.0,793.0,14686.0,121.0,14565.0,118008.0,81562.0,626.0,667.0,298.0,0.0,30739.0,4116.0,2659.0,1457.0
2011,Congressional District 5,745295.0,574072.0,438599.0,99650.0,1866.0,18603.0,1944.0,1555.0,11855.0,763.0,11092.0,171223.0,114633.0,1892.0,1104.0,0.0,0.0,47593.0,6001.0,3165.0,2836.0
2011,Congressional District 6,828785.0,630246.0,430421.0,143961.0,2475.0,41492.0,265.0,581.0,11051.0,301.0,10750.0,198539.0,150638.0,3229.0,3341.0,822.0,65.0,34098.0,6346.0,3963.0,2383.0
2011,Congressional District 7,815993.0,596640.0,405545.0,95761.0,551.0,78405.0,535.0,1429.0,14414.0,1210.0,13204.0,219353.0,145420.0,1482.0,1170.0,557.0,0.0,61366.0,9358.0,6388.0,2970.0
2011,Congressional District 8,848871.0,713208.0,617549.0,66938.0,3420.0,12469.0,0.0,1242.0,11590.0,0.0,11590.0,135663.0,108147.0,1585.0,1880.0,183.0,0.0,19499.0,4369.0,1513.0,2856.0
2011,Congressional District 9,727126.0,414389.0,90291.0,246647.0,893.0,66130.0,0.0,839.0,9589.0,1052.0,8537.0,312737.0,212193.0,2437.0,186.0,1475.0,336.0,91707.0,4403.0,2415.0,1988.0
2011,Congressional District 10,990575.0,717832.0,533524.0,103598.0,3032.0,60498.0,0.0,3173.0,14007.0,490.0,13517.0,272743.0,184822.0,1984.0,2154.0,423.0,669.0,71103.0,11588.0,8784.0,2804.0
2011,Congressional District 11,719736.0,450898.0,409127.0,27136.0,2287.0,4244.0,62.0,502.0,7540.0,451.0,7089.0,268838.0,228056.0,2546.0,1400.0,559.0,48.0,30026.0,6203.0,2781.0,3422.0
2011,Congressional District 12,853353.0,598991.0,503912.0,55024.0,3117.0,18617.0,212.0,562.0,17547.0,899.0,16648.0,254362.0,208150.0,1049.0,6887.0,565.0,379.0,29073.0,8259.0,6081.0,2178.0
2011,Congressional District 13,671422.0,510860.0,442498.0,41338.0,3475.0,11419.0,381.0,68.0,11681.0,421.0,11260.0,160562.0,130165.0,1569.0,1625.0,640.0,9.0,18878.0,7676.0,4291.0,3385.0
2011,Congressional District 14,809324.0,575749.0,451286.0,83505.0,1090.0,29833.0,128.0,340.0,9567.0,608.0,8959.0,233575.0,200363.0,721.0,1242.0,27.0,144.0,20129.0,10949.0,2615.0,8334.0
