Year,Districts,Estimate; Total:,Estimate; Not Hispanic or Latino:,Estimate; Not Hispanic or Latino: - White alone,Estimate; Not Hispanic or Latino: - Black or African American alone,Estimate; Not Hispanic or Latino: - American Indian and Alaska Native alone,Estimate; Not Hispanic or Latino: - Asian alone,Estimate; Not Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Estimate; Not Hispanic or Latino: - Some other race alone,Estimate; Not Hispanic or Latino: - Two or more races:,Estimate; Not Hispanic or Latino: - Two or more races: - Two races including Some other race,"Estimate; Not Hispanic or Latino: - Two or more races: - Two races excluding Some other race, and three or more races",Estimate; Hispanic or Latino:,Estimate; Hispanic or Latino: - White alone,Estimate; Hispanic or Latino: - Black or African American alone,Estimate; Hispanic or Latino: - American Indian and Alaska Native alone,Estimate; Hispanic or Latino: - Asian alone,Estimate; Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Estimate; Hispanic or Latino: - Some other race alone,Estimate; Hispanic or Latino: - Two or more races:,Estimate; Hispanic or Latino: - Two or more races: - Two races including Some other race,"Estimate; Hispanic or Latino: - Two or more races: - Two races excluding Some other race, and three or more races"
2012,Congressional District 1,710704.0,595779.0,452469.0,127556.0,1816.0,7021.0,759.0,0.0,6158.0,89.0,6069.0,114925.0,93080.0,1214.0,1310.0,232.0,43.0,15511.0,3535.0,2383.0,1152.0
2012,Congressional District 2,744871.0,508760.0,363225.0,77971.0,1105.0,51782.0,59.0,1956.0,12662.0,971.0,11691.0,236111.0,179136.0,2059.0,2857.0,610.0,41.0,46502.0,4906.0,3395.0,1511.0
2012,Congressional District 3,747284.0,636180.0,453550.0,66995.0,2516.0,93949.0,204.0,2448.0,16518.0,828.0,15690.0,111104.0,88191.0,1643.0,677.0,738.0,0.0,12221.0,7634.0,3023.0,4611.0
2012,Congressional District 4,705523.0,617293.0,517059.0,73763.0,3967.0,8032.0,225.0,952.0,13295.0,969.0,12326.0,88230.0,63639.0,624.0,379.0,370.0,103.0,19339.0,3776.0,2738.0,1038.0
2012,Congressional District 5,711115.0,518315.0,389025.0,102856.0,1610.0,14165.0,20.0,1231.0,9408.0,102.0,9306.0,192800.0,147770.0,1587.0,1230.0,169.0,32.0,36359.0,5653.0,3710.0,1943.0
2012,Congressional District 6,720861.0,574230.0,389102.0,136228.0,2049.0,32671.0,85.0,352.0,13743.0,954.0,12789.0,146631.0,118871.0,1207.0,875.0,47.0,0.0,20454.0,5177.0,2657.0,2520.0
2012,Congressional District 7,717354.0,495643.0,326541.0,83531.0,1194.0,70357.0,101.0,1422.0,12497.0,597.0,11900.0,221711.0,170297.0,1998.0,737.0,114.0,0.0,41879.0,6686.0,2102.0,4584.0
2012,Congressional District 8,743782.0,587350.0,495444.0,62009.0,1146.0,16323.0,487.0,1206.0,10735.0,240.0,10495.0,156432.0,125443.0,2592.0,1577.0,962.0,0.0,20323.0,5535.0,3250.0,2285.0
2012,Congressional District 9,738924.0,441733.0,79481.0,270257.0,1000.0,78636.0,510.0,1058.0,10791.0,533.0,10258.0,297191.0,207425.0,2904.0,460.0,617.0,135.0,78458.0,7192.0,3892.0,3300.0
2012,Congressional District 10,708122.0,522997.0,412982.0,68732.0,1224.0,28262.0,373.0,794.0,10630.0,772.0,9858.0,185125.0,144953.0,1530.0,2373.0,422.0,0.0,31932.0,3915.0,1523.0,2392.0
2012,Congressional District 11,718201.0,465996.0,425468.0,27409.0,1382.0,5273.0,149.0,78.0,6237.0,222.0,6015.0,252205.0,211287.0,842.0,3004.0,161.0,22.0,29148.0,7741.0,3439.0,4302.0
2012,Congressional District 12,728142.0,566595.0,461474.0,63851.0,3543.0,25490.0,1203.0,586.0,10448.0,242.0,10206.0,161547.0,127480.0,2067.0,1491.0,52.0,0.0,26615.0,3842.0,1855.0,1987.0
2012,Congressional District 13,703835.0,525108.0,461264.0,33543.0,3675.0,12133.0,895.0,825.0,12773.0,244.0,12529.0,178727.0,148464.0,1476.0,1252.0,81.0,33.0,20778.0,6643.0,2320.0,4323.0
2012,Congressional District 14,705051.0,549279.0,372646.0,141562.0,1451.0,21368.0,112.0,1019.0,11121.0,134.0,10987.0,155772.0,132077.0,2252.0,507.0,133.0,0.0,16912.0,3891.0,2713.0,1178.0
2012,Congressional District 15,719557.0,139282.0,114085.0,12032.0,998.0,8762.0,25.0,162.0,3218.0,504.0,2714.0,580275.0,533521.0,1562.0,4462.0,116.0,0.0,36318.0,4296.0,2187.0,2109.0
2012,Congressional District 16,722987.0,151959.0,108715.0,24593.0,1665.0,8037.0,986.0,1121.0,6842.0,440.0,6402.0,571028.0,490903.0,3352.0,2301.0,756.0,128.0,63534.0,10054.0,5701.0,4353.0
2012,Congressional District 17,715138.0,536779.0,405249.0,89505.0,1531.0,30048.0,405.0,512.0,9529.0,252.0,9277.0,178359.0,135511.0,2434.0,1992.0,442.0,0.0,32519.0,5461.0,2456.0,3005.0
2012,Congressional District 18,732701.0,446494.0,125412.0,288434.0,785.0,24371.0,919.0,1434.0,5139.0,72.0,5067.0,286207.0,206928.0,3891.0,2735.0,0.0,124.0,68783.0,3746.0,2671.0,1075.0
