Year,Districts,Estimate; Total:,Estimate; Not Hispanic or Latino:,Estimate; Not Hispanic or Latino: - White alone,Estimate; Not Hispanic or Latino: - Black or African American alone,Estimate; Not Hispanic or Latino: - American Indian and Alaska Native alone,Estimate; Not Hispanic or Latino: - Asian alone,Estimate; Not Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Estimate; Not Hispanic or Latino: - Some other race alone,Estimate; Not Hispanic or Latino: - Two or more races:,Estimate; Not Hispanic or Latino: - Two or more races: - Two races including Some other race,"Estimate; Not Hispanic or Latino: - Two or more races: - Two races excluding Some other race, and three or more races",Estimate; Hispanic or Latino:,Estimate; Hispanic or Latino: - White alone,Estimate; Hispanic or Latino: - Black or African American alone,Estimate; Hispanic or Latino: - American Indian and Alaska Native alone,Estimate; Hispanic or Latino: - Asian alone,Estimate; Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Estimate; Hispanic or Latino: - Some other race alone,Estimate; Hispanic or Latino: - Two or more races:,Estimate; Hispanic or Latino: - Two or more races: - Two races including Some other race,"Estimate; Hispanic or Latino: - Two or more races: - Two races excluding Some other race, and three or more races"
2010,Texas,25257114,15723234,11414433,2904687,67988,957150,15276,37760,325940,17562,308378,9533880,7302087,65556,61174,12350,3252,1867353,222108,137667,84441
2010,Congressional District 1,721485,610673,469145,126912,1948,5352,143,255,6918,656,6262,110812,87253,246,977,211,1017,17830,3278,2087,1191
2010,Congressional District 2,794169,616813,396010,176604,2979,27926,2362,1072,9860,273,9587,177356,125261,2259,1275,912,0,41073,6576,4759,1817
2010,Congressional District 3,850855,658786,438839,94232,3098,99592,517,4155,18353,852,17501,192069,107799,1258,880,762,0,72351,9019,5199,3820
2010,Congressional District 4,852594,743563,612648,89491,5179,17413,1696,555,16581,615,15966,109031,76400,766,356,365,0,26443,4701,3711,990
2010,Congressional District 5,727987,574602,436208,112483,1908,13269,262,394,10078,709,9369,153385,115174,1276,967,165,0,31016,4787,3655,1132
2010,Congressional District 6,818953,624200,436205,138737,2175,32295,234,1350,13204,336,12868,194753,143702,2749,3496,318,0,39405,5083,3040,2043
2010,Congressional District 7,790218,591482,429296,68798,1061,77500,156,3816,10855,419,10436,198736,134227,794,2655,696,0,54702,5662,3345,2317
2010,Congressional District 8,840823,709340,617591,60368,3319,12769,242,611,14440,449,13991,131483,103779,1552,1344,238,0,21458,3112,2479,633
2010,Congressional District 9,727885,424561,74363,262161,813,79541,526,2076,5081,816,4265,303324,175814,4377,1694,205,0,115351,5883,3873,2010
2010,Congressional District 10,970318,698786,514873,105781,2103,59481,216,2080,14252,1533,12719,271532,198104,2214,2671,863,150,60527,7003,3617,3386
2010,Congressional District 11,712577,455165,415441,26623,2118,3949,94,335,6605,158,6447,257412,216443,1003,2268,15,330,30214,7139,3944,3195
2010,Congressional District 12,845535,602479,508351,55961,5028,20702,83,2306,10048,216,9832,243056,148400,1031,1728,124,55,86189,5529,4170,1359
2010,Congressional District 13,679699,516093,453427,37166,3536,11821,826,458,8859,689,8170,163606,127146,1129,1849,156,0,25880,7446,4526,2920
2010,Congressional District 14,778788,552358,439271,70223,971,27110,0,1160,13623,636,12987,226430,190961,2972,974,92,43,24531,6857,2750,4107
2010,Congressional District 15,781345,143802,124260,10179,409,7121,0,219,1614,575,1039,637543,533628,2299,1971,864,42,91929,6810,5309,1501
2010,Congressional District 16,765076,140630,104058,21376,2472,7510,71,501,4642,171,4471,624446,495467,3681,1982,307,66,112514,10429,7284,3145
2010,Congressional District 17,760543,600367,496394,75868,2874,13857,869,355,10150,273,9877,160176,126722,1911,871,77,0,26686,3909,2723,1186
2010,Congressional District 18,717553,392312,104976,258067,728,23219,125,602,4595,211,4384,325241,264518,3091,620,343,0,53512,3157,2224,933
2010,Congressional District 19,692491,456202,398811,35571,2533,8400,302,1065,9520,342,9178,236289,169644,2635,1563,419,25,49679,12324,8340,3984
2010,Congressional District 20,712239,206750,132247,51382,1128,12379,811,1072,7731,645,7086,505489,398559,2002,3664,739,84,91190,9251,5232,4019
2010,Congressional District 21,869422,628604,522571,57150,1971,30782,625,1717,13788,408,13380,240818,185932,1643,4344,496,227,40791,7385,4092,3293
2010,Congressional District 22,924709,672359,400303,135242,1955,120518,36,859,13446,1524,11922,252350,193247,4549,1642,665,53,44545,7649,3261,4388
2010,Congressional District 23,845902,276078,227825,21771,2166,15891,498,891,7036,370,6666,569824,471742,2622,5401,142,202,80443,9272,6605,2667
2010,Congressional District 24,796543,578247,375121,104232,3970,77814,628,1898,14584,883,13701,218296,152509,2713,2170,258,317,53401,6928,5132,1796
