Year,Districts,Estimate; Total:,Estimate; Not Hispanic or Latino:,Estimate; Not Hispanic or Latino: - White alone,Estimate; Not Hispanic or Latino: - Black or African American alone,Estimate; Not Hispanic or Latino: - American Indian and Alaska Native alone,Estimate; Not Hispanic or Latino: - Asian alone,Estimate; Not Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Estimate; Not Hispanic or Latino: - Some other race alone,Estimate; Not Hispanic or Latino: - Two or more races:,Estimate; Not Hispanic or Latino: - Two or more races: - Two races including Some other race,"Estimate; Not Hispanic or Latino: - Two or more races: - Two races excluding Some other race, and three or more races",Estimate; Hispanic or Latino:,Estimate; Hispanic or Latino: - White alone,Estimate; Hispanic or Latino: - Black or African American alone,Estimate; Hispanic or Latino: - American Indian and Alaska Native alone,Estimate; Hispanic or Latino: - Asian alone,Estimate; Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Estimate; Hispanic or Latino: - Some other race alone,Estimate; Hispanic or Latino: - Two or more races:,Estimate; Hispanic or Latino: - Two or more races: - Two races including Some other race,"Estimate; Hispanic or Latino: - Two or more races: - Two races excluding Some other race, and three or more races"
2015,Congressional District 1,715761.0,593205.0,447146.0,127222.0,1474.0,7535.0,5.0,541.0,9282.0,183.0,9099.0,122556.0,108002.0,1290.0,202.0,89.0,0.0,10114.0,2859.0,1602.0,1257.0
2015,Congressional District 2,753863.0,526733.0,362504.0,87343.0,1248.0,59917.0,136.0,2391.0,13194.0,1242.0,11952.0,227130.0,144369.0,1115.0,2002.0,389.0,84.0,72074.0,7097.0,5392.0,1705.0
2015,Congressional District 3,819626.0,694979.0,479132.0,70809.0,3694.0,121473.0,666.0,1549.0,17656.0,1244.0,16412.0,124647.0,97182.0,1478.0,2517.0,983.0,75.0,17283.0,5129.0,3307.0,1822.0
2015,Congressional District 4,725212.0,627316.0,521237.0,76121.0,5803.0,6513.0,94.0,1149.0,16399.0,10.0,16389.0,97896.0,61059.0,860.0,1152.0,78.0,39.0,30688.0,4020.0,3284.0,736.0
2015,Congressional District 5,743878.0,537869.0,396471.0,113172.0,1934.0,15108.0,308.0,262.0,10614.0,40.0,10574.0,206009.0,158929.0,2146.0,665.0,0.0,0.0,39291.0,4978.0,2986.0,1992.0
2015,Congressional District 6,742999.0,578362.0,373309.0,150897.0,1965.0,35744.0,1296.0,1595.0,13556.0,728.0,12828.0,164637.0,114425.0,2582.0,3696.0,543.0,0.0,34079.0,9312.0,3840.0,5472.0
2015,Congressional District 7,777640.0,535441.0,347259.0,92799.0,243.0,79749.0,117.0,2098.0,13176.0,466.0,12710.0,242199.0,193345.0,1923.0,656.0,433.0,0.0,38321.0,7521.0,4444.0,3077.0
2015,Congressional District 8,802187.0,629142.0,520477.0,62843.0,4217.0,23233.0,100.0,332.0,17940.0,457.0,17483.0,173045.0,130595.0,773.0,979.0,274.0,0.0,27971.0,12453.0,2677.0,9776.0
2015,Congressional District 9,782554.0,483000.0,85099.0,294750.0,889.0,93368.0,696.0,1489.0,6709.0,812.0,5897.0,299554.0,199213.0,2922.0,1072.0,315.0,0.0,92451.0,3581.0,2389.0,1192.0
2015,Congressional District 10,792770.0,563819.0,416037.0,86382.0,1440.0,44965.0,195.0,2804.0,11996.0,786.0,11210.0,228951.0,168496.0,2485.0,1244.0,321.0,0.0,48730.0,7675.0,4693.0,2982.0
