Year,Districts,Estimate; Total:,Estimate; Not Hispanic or Latino:,Estimate; Not Hispanic or Latino: - White alone,Estimate; Not Hispanic or Latino: - Black or African American alone,Estimate; Not Hispanic or Latino: - American Indian and Alaska Native alone,Estimate; Not Hispanic or Latino: - Asian alone,Estimate; Not Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Estimate; Not Hispanic or Latino: - Some other race alone,Estimate; Not Hispanic or Latino: - Two or more races:,Estimate; Not Hispanic or Latino: - Two or more races: - Two races including Some other race,"Estimate; Not Hispanic or Latino: - Two or more races: - Two races excluding Some other race, and three or more races",Estimate; Hispanic or Latino:,Estimate; Hispanic or Latino: - White alone,Estimate; Hispanic or Latino: - Black or African American alone,Estimate; Hispanic or Latino: - American Indian and Alaska Native alone,Estimate; Hispanic or Latino: - Asian alone,Estimate; Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Estimate; Hispanic or Latino: - Some other race alone,Estimate; Hispanic or Latino: - Two or more races:,Estimate; Hispanic or Latino: - Two or more races: - Two races including Some other race,"Estimate; Hispanic or Latino: - Two or more races: - Two races excluding Some other race, and three or more races"
2007,Texas,23904380,15303995,11405417,2718294,73336,795432,14740,44906,251870,16073,235797,8600385,5398738,39260,37873,11412,2313,2919782,191007,138595,52412
2007,Congressional District 1,703337,615381,476188,124114,1901,3992,169,507,8510,131,8379,87956,43535,564,354,0,0,41758,1745,969,776
2007,Congressional District 2,759249,610014,424542,150296,2424,24001,626,741,7384,68,7316,149235,83270,435,228,200,0,59936,5166,3894,1272
2007,Congressional District 3,831319,655547,460185,95691,2273,84572,51,2289,10486,1437,9049,175772,111020,707,1164,526,55,59189,3111,2874,237
2007,Congressional District 4,792111,692383,579883,79288,4817,16013,290,324,11768,141,11627,99728,67110,266,216,40,0,28499,3597,2671,926
2007,Congressional District 5,703264,573883,462668,87425,3621,13714,139,1321,4995,573,4422,129381,89082,819,347,145,0,35599,3389,3060,329
2007,Congressional District 6,774982,606673,436945,121376,3490,31605,747,1235,11275,579,10696,168309,101366,1091,1364,400,0,57022,7066,5099,1967
2007,Congressional District 7,782163,596169,451757,64407,893,68888,536,985,8703,771,7932,185994,108811,1941,790,833,431,70449,2739,1734,1005
2007,Congressional District 8,770842,671454,584190,67235,3087,9259,81,751,6851,404,6447,99388,66615,220,390,0,0,30064,2099,1502,597
2007,Congressional District 9,690772,421809,90217,260695,1343,62597,1183,2076,3698,306,3392,268963,167687,3786,100,241,0,94700,2449,1535,914
2007,Congressional District 10,898647,658900,497488,93566,2783,49921,543,2519,12080,869,11211,239747,122445,1094,2324,1024,0,105101,7759,5672,2087
2007,Congressional District 11,679474,451968,407872,23689,2512,5066,260,807,11762,250,11512,227506,164252,995,832,308,0,54013,7106,4529,2577
2007,Congressional District 12,770083,557367,481990,44657,3649,18267,117,1143,7544,488,7056,212716,109577,770,1461,274,0,94788,5846,4797,1049
2007,Congressional District 13,657226,519147,457034,38381,4994,8795,252,754,8937,524,8413,138079,60710,444,991,187,78,70546,5123,3512,1611
2007,Congressional District 14,728745,529614,434379,61598,2150,20561,445,725,9756,336,9420,199131,127844,1158,758,405,72,60154,8740,5711,3029
2007,Congressional District 15,738337,149485,123192,13069,1602,6996,0,1559,3067,902,2165,588852,405863,885,1794,388,19,173998,5905,5186,719
2007,Congressional District 16,702998,132460,97823,18367,1222,7746,42,1540,5720,122,5598,570538,436561,1811,2403,46,70,118763,10884,9334,1550
2007,Congressional District 17,732285,592665,495048,72684,3142,13132,1249,667,6743,134,6609,139620,94946,1100,1222,146,0,38154,4052,2663,1389
2007,Congressional District 18,683309,396715,110100,261582,924,19392,714,799,3204,123,3081,286594,182288,1144,1769,299,0,96517,4577,3758,819
2007,Congressional District 19,656619,448038,396779,35063,2016,6583,364,824,6409,362,6047,208581,139709,770,1463,57,0,60788,5794,4371,1423
2007,Congressional District 20,680539,206763,133577,46690,4021,13161,702,1800,6812,1390,5422,473776,246657,3619,2033,741,726,211009,8991,8192,799
2007,Congressional District 21,802272,590520,500350,53374,1155,24689,446,1041,9465,568,8897,211752,150193,2173,756,199,0,50202,8229,5604,2625
2007,Congressional District 22,852032,632998,429001,101489,1678,88679,0,2725,9426,377,9049,219034,146840,2044,631,653,0,63633,5233,3417,1816
2007,Congressional District 23,777141,267397,227160,22093,1332,10889,150,751,5022,483,4539,509744,319590,1162,1704,1055,132,175751,10350,7392,2958
2007,Congressional District 24,770834,580920,396491,101900,2858,65499,2756,2911,8505,820,7685,189914,117278,1290,801,571,181,61975,7818,4016,3802
2007,Congressional District 25,770313,481751,387528,62693,2340,18890,500,1682,8118,877,7241,288562,95169,606,1163,362,70,184758,6434,4865,1569
2007,Congressional District 26,864572,693757,538087,106613,2006,26550,210,2895,17396,174,17222,170815,115861,1617,591,209,0,45843,6694,2125,4569
2007,Congressional District 27,713074,199422,171657,15315,1122,6151,200,200,4777,384,4393,513652,407073,1060,1309,520,157,95223,8310,6621,1689
2007,Congressional District 28,785784,164225,145941,9951,1222,3371,49,1224,2467,74,2393,621559,419339,550,2645,481,183,188097,10264,8115,2149
