Year,Districts,Estimate; Total:,Estimate; Not Hispanic or Latino:,Estimate; Not Hispanic or Latino: - White alone,Estimate; Not Hispanic or Latino: - Black or African American alone,Estimate; Not Hispanic or Latino: - American Indian and Alaska Native alone,Estimate; Not Hispanic or Latino: - Asian alone,Estimate; Not Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Estimate; Not Hispanic or Latino: - Some other race alone,Estimate; Not Hispanic or Latino: - Two or more races:,Estimate; Not Hispanic or Latino: - Two or more races: - Two races including Some other race,"Estimate; Not Hispanic or Latino: - Two or more races: - Two races excluding Some other race, and three or more races",Estimate; Hispanic or Latino:,Estimate; Hispanic or Latino: - White alone,Estimate; Hispanic or Latino: - Black or African American alone,Estimate; Hispanic or Latino: - American Indian and Alaska Native alone,Estimate; Hispanic or Latino: - Asian alone,Estimate; Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Estimate; Hispanic or Latino: - Some other race alone,Estimate; Hispanic or Latino: - Two or more races:,Estimate; Hispanic or Latino: - Two or more races: - Two races including Some other race,"Estimate; Hispanic or Latino: - Two or more races: - Two races excluding Some other race, and three or more races"
2016,Congressional District 1,717735.0,593041.0,445558.0,127747.0,2247.0,7870.0,422.0,910.0,8287.0,70.0,8217.0,124694.0,102580.0,2047.0,1894.0,302.0,0.0,15111.0,2760.0,1620.0,1140.0
2016,Congressional District 2,779662.0,535806.0,370373.0,96544.0,1381.0,52028.0,1034.0,2843.0,11603.0,830.0,10773.0,243856.0,148941.0,2103.0,894.0,168.0,126.0,87335.0,4289.0,2641.0,1648.0
2016,Congressional District 3,842800.0,719524.0,480958.0,81145.0,2025.0,129157.0,822.0,2193.0,23224.0,1106.0,22118.0,123276.0,99154.0,209.0,1146.0,421.0,0.0,16326.0,6020.0,3264.0,2756.0
2016,Congressional District 4,735554.0,637866.0,533079.0,76586.0,4388.0,7864.0,156.0,201.0,15592.0,242.0,15350.0,97688.0,67701.0,433.0,322.0,247.0,228.0,26740.0,2017.0,569.0,1448.0
2016,Congressional District 5,764456.0,544140.0,399651.0,112893.0,4017.0,17080.0,314.0,984.0,9201.0,317.0,8884.0,220316.0,181936.0,1251.0,1056.0,242.0,153.0,27881.0,7797.0,4408.0,3389.0
2016,Congressional District 6,770255.0,599030.0,381956.0,154605.0,2444.0,37194.0,1731.0,1435.0,19665.0,436.0,19229.0,171225.0,124966.0,1935.0,2137.0,141.0,0.0,33878.0,8168.0,3647.0,4521.0
2016,Congressional District 7,770606.0,524687.0,330564.0,96049.0,1001.0,78155.0,150.0,1450.0,17318.0,1758.0,15560.0,245919.0,187951.0,2628.0,209.0,190.0,55.0,47637.0,7249.0,3650.0,3599.0
2016,Congressional District 8,813519.0,637932.0,531079.0,70044.0,2364.0,21784.0,358.0,857.0,11446.0,688.0,10758.0,175587.0,144099.0,3310.0,2837.0,295.0,0.0,17395.0,7651.0,2178.0,5473.0
2016,Congressional District 9,793923.0,485883.0,86733.0,289938.0,950.0,99352.0,117.0,1734.0,7059.0,538.0,6521.0,308040.0,208047.0,4790.0,453.0,1193.0,199.0,88982.0,4376.0,2437.0,1939.0
2016,Congressional District 10,823296.0,609469.0,457190.0,87433.0,1774.0,42704.0,98.0,2051.0,18219.0,598.0,17621.0,213827.0,148540.0,2058.0,3205.0,1157.0,506.0,54810.0,3551.0,2235.0,1316.0
2016,Congressional District 11,759136.0,470009.0,422385.0,28104.0,1533.0,8223.0,146.0,1329.0,8289.0,112.0,8177.0,289127.0,248920.0,3251.0,1743.0,464.0,0.0,28187.0,6562.0,3018.0,3544.0
2016,Congressional District 12,770350.0,600676.0,485184.0,65048.0,3092.0,27547.0,980.0,1086.0,17739.0,500.0,17239.0,169674.0,123475.0,1302.0,1545.0,421.0,110.0,36266.0,6555.0,2515.0,4040.0
2016,Congressional District 13,707421.0,516668.0,448648.0,34638.0,2983.0,14296.0,601.0,756.0,14746.0,378.0,14368.0,190753.0,156779.0,1408.0,2478.0,528.0,99.0,21718.0,7743.0,3409.0,4334.0
2016,Congressional District 14,753147.0,566284.0,381609.0,148808.0,3264.0,23447.0,285.0,119.0,8752.0,115.0,8637.0,186863.0,163552.0,1718.0,1173.0,134.0,13.0,16518.0,3755.0,1479.0,2276.0
2016,Congressional District 15,776887.0,140876.0,115510.0,11235.0,757.0,8896.0,1063.0,338.0,3077.0,1041.0,2036.0,636011.0,506246.0,1011.0,1449.0,157.0,621.0,117321.0,9206.0,7047.0,2159.0
2016,Congressional District 16,735784.0,144955.0,99919.0,26245.0,1419.0,9888.0,299.0,95.0,7090.0,0.0,7090.0,590829.0,501578.0,3152.0,2189.0,1197.0,0.0,69838.0,12875.0,5524.0,7351.0
2016,Congressional District 17,761922.0,569495.0,418056.0,98583.0,1128.0,37927.0,692.0,580.0,12529.0,791.0,11738.0,192427.0,150959.0,1353.0,2624.0,318.0,94.0,25208.0,11871.0,2669.0,9202.0
2016,Congressional District 18,787352.0,458421.0,134023.0,279024.0,268.0,30440.0,1427.0,1142.0,12097.0,97.0,12000.0,328931.0,245811.0,7143.0,530.0,572.0,523.0,66253.0,8099.0,3799.0,4300.0
2016,Congressional District 19,734532.0,460145.0,391268.0,43036.0,2771.0,10005.0,1084.0,809.0,11172.0,374.0,10798.0,274387.0,223087.0,1813.0,4053.0,499.0,0.0,37371.0,7564.0,4895.0,2669.0
