"CAINC1 Personal Income Summary: Personal Income, Population, Per Capita Personal Income"
"" 
"Bureau of Economic Analysis" 
"County"
"GeoFips","GeoName","LineCode","Description","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"48021","Bastrop, TX","2","Population (persons) 1/",58234,61106,63508,65825,67122,68233,69720,71348,72389,73587,74362,75141,74858,75944,77994,80281,82827,84809,86976
"48021","Bastrop, TX","3","Per capita personal income (dollars) 2/",22660,23402,23168,23352,23642,24904,25994,27359,28358,27923,28633,29261,30413,30663,31882,33548,33552,34895,36561
"48023","Baylor, TX","1","Personal income (thousands of dollars)",88509,98189,99237,107041,107913,106433,111708,114548,125658,117682,120816,128492,129798,132062,136628,140686,134793,140251,149384
"48023","Baylor, TX","2","Population (persons) 1/",4135,3930,3897,3941,3955,3877,3870,3905,3747,3726,3708,3695,3590,3578,3567,3609,3638,3559,3582
"48023","Baylor, TX","3","Per capita personal income (dollars) 2/",21405,24984,25465,27161,27285,27452,28865,29334,33536,31584,32583,34775,36155,36909,38303,38982,37051,39407,41704
"48025","Bee, TX","1","Personal income (thousands of dollars)",494215,507572,507912,549031,566987,610003,639822,671144,804045,729121,807407,822116,904481,955559,983505,898799,859366,897871,927329
"48025","Bee, TX","2","Population (persons) 1/",32200,31695,31804,32620,32352,32101,31977,31936,31814,31864,31863,32311,32483,32812,32846,32612,32809,32599,32587
"48025","Bee, TX","3","Per capita personal income (dollars) 2/",15348,16014,15970,16831,17526,19003,20009,21015,25273,22882,25340,25444,27845,29122,29943,27560,26193,27543,28457
"48027","Bell, TX","1","Personal income (thousands of dollars)",5950131,6350577,6758352,7280082,7685661,8455587,9428167,10491221,11540888,11864458,12132652,12779609,12917390,12747832,13137668,13819557,13928260,14576695,15211864
"48027","Bell, TX","2","Population (persons) 1/",239890,244299,249671,252922,258138,266017,273771,287752,297873,301050,312850,315780,324973,327061,330208,336174,341305,347851,355642
"48027","Bell, TX","3","Per capita personal income (dollars) 2/",24804,25995,27069,28784,29773,31786,34438,36459,38744,39410,38781,40470,39749,38977,39786,41108,40809,41905,42773
"48029","Bexar, TX","1","Personal income (thousands of dollars)",38202019,39557574,40665421,43127118,44880715,47992527,52486724,55554150,59491032,57541601,61084851,66744435,68659334,71181114,77617332,80686571,81607752,85949659,91473170
"48029","Bexar, TX","2","Population (persons) 1/",1398834,1419020,1446755,1469623,1500919,1529270,1573935,1615210,1651709,1685628,1722855,1755340,1789091,1821863,1858787,1896116,1929530,1958841,1986049
"48029","Bexar, TX","3","Per capita personal income (dollars) 2/",27310,27877,28108,29346,29902,31383,33347,34394,36018,34137,35456,38024,38377,39071,41757,42554,42294,43878,46058
"48031","Blanco, TX","1","Personal income (thousands of dollars)",234793,257347,266252,269307,287405,313899,351386,396900,469117,491601,430464,436245,454095,466690,499910,524899,537218,574666,608130
