"CAINC1 Personal Income Summary: Personal Income, Population, Per Capita Personal Income"
"" 
"Bureau of Economic Analysis" 
"County"
"GeoFips","GeoName","LineCode","Description","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"48099","Coryell, TX","2","Population (persons) 1/",75199,74083,73135,71364,71943,72610,72217,73324,74552,74673,75660,76642,78475,76787,76178,76197,74879,74883,74808
"48099","Coryell, TX","3","Per capita personal income (dollars) 2/",19523,20372,21350,22911,23377,24921,26335,27003,27986,28436,28960,29736,29462,29334,30502,31629,31900,33142,33996
"48101","Cottle, TX","1","Personal income (thousands of dollars)",46964,52583,54237,59155,59798,57803,56175,61470,56314,61871,60396,63319,64249,67366,71087,76265,72762,79763,79573
"48101","Cottle, TX","2","Population (persons) 1/",1883,1774,1726,1699,1679,1653,1577,1513,1527,1509,1512,1507,1485,1442,1429,1439,1402,1381,1389
"48101","Cottle, TX","3","Per capita personal income (dollars) 2/",24941,29641,31424,34818,35615,34969,35621,40628,36879,41001,39944,42017,43265,46717,49746,52999,51899,57757,57288
"48103","Crane, TX","1","Personal income (thousands of dollars)",75697,78433,81216,85721,86206,94569,113777,124215,144747,132225,142126,172325,200448,216141,237856,201806,177733,200290,228953
"48103","Crane, TX","2","Population (persons) 1/",3951,3893,3891,3847,3865,3840,3855,3976,4157,4333,4382,4358,4527,4721,4904,5002,4783,4713,4794
"48103","Crane, TX","3","Per capita personal income (dollars) 2/",19159,20147,20873,22283,22304,24627,29514,31241,34820,30516,32434,39542,44278,45783,48502,40345,37159,42497,47758
"48105","Crockett, TX","1","Personal income (thousands of dollars)",77519,90687,88556,98568,92404,94495,98956,102772,118157,106924,107786,124240,123585,141817,145608,142444,130532,135349,145110
"48105","Crockett, TX","2","Population (persons) 1/",4012,3844,3841,3862,3857,3851,3739,3759,3783,3740,3701,3652,3706,3764,3790,3738,3647,3555,3499
"48105","Crockett, TX","3","Per capita personal income (dollars) 2/",19322,23592,23055,25523,23957,24538,26466,27340,31234,28589,29123,34020,33347,37677,38419,38107,35792,38073,41472
"48107","Crosby, TX","1","Personal income (thousands of dollars)",153952,152084,154942,172337,197260,198838,171232,183704,169270,180808,223035,156862,160731,242927,169489,164593,160811,180590,177835
"48107","Crosby, TX","2","Population (persons) 1/",7053,6955,6852,6718,6625,6521,6466,6262,6192,6057,6026,6042,6034,5923,5825,5917,5912,5872,5779
"48107","Crosby, TX","3","Per capita personal income (dollars) 2/",21828,21867,22613,25653,29775,30492,26482,29336,27337,29851,37012,25962,26638,41014,29097,27817,27201,30754,30773
"48109","Culberson, TX","1","Personal income (thousands of dollars)",42646,43784,46794,49414,52072,54154,55853,61620,60034,69466,74420,76390,82053,91441,92490,94765,97839,105873,119412
"48109","Culberson, TX","2","Population (persons) 1/",2948,2865,2829,2778,2695,2648,2587,2536,2490,2384,2404,2393,2317,2306,2283,2256,2224,2237,2204
"48109","Culberson, TX","3","Per capita personal income (dollars) 2/",14466,15282,16541,17788,19322,20451,21590,24298,24110,29138,30957,31922,35413,39654,40512,42006,43992,47328,54180
"48111","Dallam, TX","1","Personal income (thousands of dollars)",212098,222090,216776,222529,245476,230764,220061,252669,271186,282554,307819,352695,371492,372474,398008,461396,371062,384837,375466
"48111","Dallam, TX","2","Population (persons) 1/",6224,6210,6159,6148,6208,6238,6205,6336,6506,6571,6748,6892,7065,7118,7224,7288,7293,7211,7200
"48111","Dallam, TX","3","Per capita personal income (dollars) 2/",34077,35763,35197,36195,39542,36993,35465,39878,41682,43000,45616,51175,52582,52328,55095,63309,50879,53368,52148
"48113","Dallas, TX","1","Personal income (thousands of dollars)",78517022,79771259,79443685,79359184,80161553,85404616,93492323,97423284,102599484,91622047,96799388,114496466,119114882,121626711,130634845,134056422,138797985,146737911,155610208
"48113","Dallas, TX","2","Population (persons) 1/",2220848,2249418,2250326,2246432,2244020,2250830,2275434,2291891,2314018,2346378,2372327,2408170,2455921,2484988,2520434,2558913,2592844,2622799,2637772
"48113","Dallas, TX","3","Per capita personal income (dollars) 2/",35355,35463,35303,35327,35722,37944,41088,42508,44338,39048,40804,47545,48501,48945,51830,52388,53531,55947,58993
"48115","Dawson, TX","1","Personal income (thousands of dollars)",261763,272347,284656,314069,318876,349898,315603,382552,326096,343450,439637,397856,410842,475393,427331,418639,404282,456244,468302
"48115","Dawson, TX","2","Population (persons) 1/",14935,14863,14429,14354,14062,14092,13987,13865,13804,13741,13827,13746,13613,13219,13448,12990,12998,12766,12619
"48115","Dawson, TX","3","Per capita personal income (dollars) 2/",17527,18324,19728,21880,22676,24830,22564,27591,23623,24995,31796,28943,30180,35963,31777,32228,31103,35739,37111
"48117","Deaf Smith, TX","1","Personal income (thousands of dollars)",485171,483663,415872,452955,424699,482239,446400,529160,542135,522770,677727,780990,718326,676616,825443,977211,764086,784694,759213
"48117","Deaf Smith, TX","2","Population (persons) 1/",18515,18391,18439,18454,18671,18737,18770,18916,19054,19084,19465,19522,19381,19195,19139,18851,18894,18851,18760
"48117","Deaf Smith, TX","3","Per capita personal income (dollars) 2/",26204,26299,22554,24545,22746,25737,23783,27974,28453,27393,34818,40006,37063,35250,43129,51839,40441,41626,40470
"48119","Delta, TX","1","Personal income (thousands of dollars)",102813,106627,111570,114257,116376,114251,122161,134517,136832,141918,152854,162896,164960,172218,176569,178934,180851,181112,186160
"48119","Delta, TX","2","Population (persons) 1/",5323,5295,5366,5310,5409,5314,5355,5199,5252,5180,5241,5146,5241,5118,5140,5157,5145,5286,5349
"48119","Delta, TX","3","Per capita personal income (dollars) 2/",19315,20137,20792,21517,21515,21500,22813,25874,26053,27397,29165,31655,31475,33649,34352,34697,35151,34263,34803
"48121","Denton, TX","1","Personal income (thousands of dollars)",14369319,15470035,15878456,16480377,17740113,20214689,22942074,24966940,27024628,26464731,27560820,29856971,32234234,34086684,36787804,39821172,42231711,44910154,48049894
"48121","Denton, TX","2","Population (persons) 1/",438791,463688,487617,509732,529811,553669,584561,609001,630104,649702,666768,685709,707971,728774,753429,779528,807883,835330,859064
"48121","Denton, TX","3","Per capita personal income (dollars) 2/",32748,33363,32563,32331,33484,36510,39247,40997,42889,40734,41335,43542,45530,46773,48827,51084,52275,53763,55933
"48123","DeWitt, TX","1","Personal income (thousands of dollars)",414570,443972,441357,460050,458748,495983,510681,557233,605766,593324,650263,741405,864887,950127,1121920,1170249,997568,1046035,1101182
"48123","DeWitt, TX","2","Population (persons) 1/",19943,20066,20015,20034,20176,20342,20108,19961,19902,20048,20054,20206,20359,20378,20521,20634,20626,20208,20187
"48123","DeWitt, TX","3","Per capita personal income (dollars) 2/",20788,22126,22051,22963,22737,24382,25397,27916,30437,29595,32426,36692,42482,46625,54672,56715,48365,51763,54549
"48125","Dickens, TX","1","Personal income (thousands of dollars)",44211,45761,47450,52774,56008,55643,54044,60489,53915,57692,65628,63112,63987,66312,64842,70262,66467,69012,71036
"48125","Dickens, TX","2","Population (persons) 1/",2724,2653,2679,2670,2641,2563,2466,2461,2400,2423,2447,2400,2321,2296,2215,2208,2201,2207,2249
"48125","Dickens, TX","3","Per capita personal income (dollars) 2/",16230,17249,17712,19766,21207,21710,21916,24579,22465,23810,26820,26297,27569,28882,29274,31822,30199,31270,31586
"48127","Dimmit, TX","1","Personal income (thousands of dollars)",137417,152287,157375,166606,171101,171787,182469,194201,211096,230008,285565,373915,396742,371830,376300,387723,338188,355033,377675
"48127","Dimmit, TX","2","Population (persons) 1/",10160,10030,10042,10075,9964,10031,9972,9845,9833,9848,10043,10111,10476,10903,10999,10939,10722,10346,10308
"48127","Dimmit, TX","3","Per capita personal income (dollars) 2/",13525,15183,15672,16537,17172,17126,18298,19726,21468,23356,28434,36981,37872,34103,34212,35444,31542,34316,36639
"48129","Donley, TX","1","Personal income (thousands of dollars)",97303,101888,94294,103242,102440,106655,102727,102215,103365,104283,120325,126104,122494,156935,138151,149878,134545,143349,151799
"48129","Donley, TX","2","Population (persons) 1/",3813,3829,3825,3898,3915,3833,3779,3806,3688,3670,3734,3686,3644,3561,3484,3392,3389,3351,3319
"48129","Donley, TX","3","Per capita personal income (dollars) 2/",25519,26610,24652,26486,26166,27825,27184,26856,28027,28415,32224,34212,33615,44070,39653,44186,39701,42778,45736
"48131","Duval, TX","1","Personal income (thousands of dollars)",208062,235532,238730,250141,253344,262428,283058,299831,322001,321641,345086,397800,417806,441047,448304,417531,385130,393217,408323
"48131","Duval, TX","2","Population (persons) 1/",13007,12830,12707,12570,12539,12426,12298,12097,11945,11917,11722,11797,11589,11589,11519,11342,11429,11272,11212
"48131","Duval, TX","3","Per capita personal income (dollars) 2/",15996,18358,18787,19900,20204,21119,23017,24786,26957,26990,29439,33720,36052,38057,38919,36813,33698,34884,36418
"48133","Eastland, TX","1","Personal income (thousands of dollars)",401841,424586,444866,458241,460860,495356,589498,599561,626872,586334,643036,835913,850782,961076,898706,896116,887175,1129369,1303469
"48133","Eastland, TX","2","Population (persons) 1/",18296,18061,18252,18333,18442,18533,18545,18636,18520,18497,18594,18580,18461,18284,18262,18165,18261,18342,18322
"48133","Eastland, TX","3","Per capita personal income (dollars) 2/",21963,23508,24374,24995,24990,26728,31787,32172,33848,31699,34583,44990,46085,52564,49212,49332,48583,61573,71142
"48135","Ector, TX","1","Personal income (thousands of dollars)",2567858,2786122,2846172,2901004,2981155,3321309,3869920,4296957,4954628,4484184,4792296,5526086,6455247,6564923,7393758,6715237,5945487,6687437,7663693
"48135","Ector, TX","2","Population (persons) 1/",120694,120802,122199,122739,124163,125378,127476,130459,133064,136930,137083,139645,144524,149714,154674,159933,157805,157173,162124
"48135","Ector, TX","3","Per capita personal income (dollars) 2/",21276,23064,23291,23636,24010,26490,30358,32937,37235,32748,34959,39572,44666,43850,47802,41988,37676,42548,47271
"48137","Edwards, TX","1","Personal income (thousands of dollars)",40049,45396,47963,55042,49620,48990,50120,53060,60109,62225,56785,61724,62389,73569,69366,74738,62401,63753,67830
"48137","Edwards, TX","2","Population (persons) 1/",2143,2070,2056,2042,2027,2011,1995,2062,2084,2012,1999,1979,1990,1899,1904,1912,1912,1941,1928
"48137","Edwards, TX","3","Per capita personal income (dollars) 2/",18688,21930,23328,26955,24480,24361,25123,25732,28843,30927,28407,31189,31351,38741,36432,39089,32637,32845,35182
"48139","Ellis, TX","1","Personal income (thousands of dollars)",2932797,3120104,3182092,3269553,3453956,3699424,4083900,4539759,4823797,4813241,4987556,5314913,5615259,5795707,6151332,6533907,6941510,7421399,7951417
"48139","Ellis, TX","2","Population (persons) 1/",112330,115286,118737,122620,125733,129955,135276,139988,144394,147392,150371,152380,153767,155971,159259,163391,168467,173636,179436
"48139","Ellis, TX","3","Per capita personal income (dollars) 2/",26109,27064,26799,26664,27471,28467,30189,32430,33407,32656,33168,34879,36518,37159,38625,39989,41204,42741,44313
"48141","El Paso, TX","1","Personal income (thousands of dollars)",13008588,13582530,14297722,14850048,15677207,16690843,17722657,18836194,19838077,20827208,22821133,24386692,25574618,25186584,26495468,27356994,27923881,28781887,30145813
"48141","El Paso, TX","2","Population (persons) 1/",681729,689163,696446,705200,717652,728095,744795,755578,769930,786759,803655,820216,832915,831746,834992,833961,838014,840545,840758
"48141","El Paso, TX","3","Per capita personal income (dollars) 2/",19082,19709,20530,21058,21845,22924,23795,24930,25766,26472,28397,29732,30705,30282,31731,32804,33321,34242,35856
"48143","Erath, TX","1","Personal income (thousands of dollars)",734918,776047,791558,769644,808617,831693,880540,940509,1007020,969751,1078127,1174641,1210723,1250377,1403841,1435562,1468294,1578489,1679652
"48143","Erath, TX","2","Population (persons) 1/",33057,33045,33619,34131,34887,35336,36355,36678,37137,37594,37917,38927,39414,39899,40532,41195,41376,41862,42446
"48143","Erath, TX","3","Per capita personal income (dollars) 2/",22232,23485,23545,22550,23178,23537,24221,25642,27116,25795,28434,30175,30718,31339,34635,34848,35487,37707,39572
"48145","Falls, TX","1","Personal income (thousands of dollars)",324044,330865,355124,375381,383408,388996,392817,416130,438602,440026,477408,503576,504922,527295,532286,538716,542960,556886,600118
"48145","Falls, TX","2","Population (persons) 1/",18522,18280,18090,18086,18066,17990,17945,17712,17698,17762,17895,17849,17574,17253,17214,17231,17311,17403,17335
"48145","Falls, TX","3","Per capita personal income (dollars) 2/",17495,18100,19631,20755,21223,21623,21890,23494,24783,24773,26678,28213,28731,30563,30922,31264,31365,31999,34619
"48147","Fannin, TX","1","Personal income (thousands of dollars)",627399,654708,671761,706601,731011,762883,804550,851960,909259,914046,943105,1010735,1034859,1049550,1104284,1161024,1202949,1264204,1326925
"48147","Fannin, TX","2","Population (persons) 1/",31334,31400,31808,32380,32692,33221,33540,33644,33870,33865,33919,33876,33597,33513,33598,33500,33919,34572,35286
"48147","Fannin, TX","3","Per capita personal income (dollars) 2/",20023,20851,21119,21822,22361,22964,23988,25323,26846,26991,27805,29836,30802,31318,32868,34657,35465,36567,37605
"48149","Fayette, TX","1","Personal income (thousands of dollars)",555298,612767,633309,654781,681633,682439,758157,825195,882314,880525,934580,1012624,1092461,1136816,1258678,1222492,1170492,1277690,1357792
"48149","Fayette, TX","2","Population (persons) 1/",21864,22397,22668,22910,23107,23342,23631,23898,24347,24470,24561,24753,24666,24729,24792,24964,25051,25176,25349
"48149","Fayette, TX","3","Per capita personal income (dollars) 2/",25398,27359,27938,28581,29499,29237,32083,34530,36239,35984,38051,40909,44290,45971,50770,48970,46724,50750,53564
"48151","Fisher, TX","1","Personal income (thousands of dollars)",79253,98305,96929,107793,112138,123511,108272,133373,115876,121745,139031,163216,126808,159305,137645,159167,141486,136948,178298
"48151","Fisher, TX","2","Population (persons) 1/",4340,4257,4242,4191,4118,4135,4098,4080,4065,4014,3973,3961,3852,3873,3887,3893,3894,3904,3839
"48151","Fisher, TX","3","Per capita personal income (dollars) 2/",18261,23093,22850,25720,27231,29870,26421,32689,28506,30330,34994,41206,32920,41132,35412,40885,36334,35079,46444
"48153","Floyd, TX","1","Personal income (thousands of dollars)",177091,179739,174088,180620,182253,206040,193638,212099,195650,203152,241662,217218,200734,242319,227674,237410,193239,216447,218109
"48153","Floyd, TX","2","Population (persons) 1/",7734,7452,7289,7364,7130,6983,6855,6683,6528,6508,6403,6368,6349,6246,5947,5851,5863,5864,5837
"48153","Floyd, TX","3","Per capita personal income (dollars) 2/",22898,24120,23884,24527,25561,29506,28248,31737,29971,31216,37742,34111,31617,38796,38284,40576,32959,36911,37367
"48155","Foard, TX","1","Personal income (thousands of dollars)",35350,36691,34830,40489,37567,36701,34380,45436,41210,41867,39112,42267,43159,49524,51934,47971,44087,47620,51545
"48155","Foard, TX","2","Population (persons) 1/",1594,1606,1536,1513,1492,1439,1432,1383,1334,1321,1345,1362,1311,1288,1276,1226,1201,1206,1200
"48155","Foard, TX","3","Per capita personal income (dollars) 2/",22177,22846,22676,26761,25179,25505,24008,32853,30892,31693,29080,31033,32921,38450,40701,39128,36709,39486,42954
"48157","Fort Bend, TX","1","Personal income (thousands of dollars)",11965932,13592149,13983240,14355787,15535155,17488042,20119549,23039577,26646328,26152702,27609481,29984551,32812955,35417498,40211617,44047047,40289786,42303942,45333473
"48157","Fort Bend, TX","2","Population (persons) 1/",358738,375708,397943,418747,441139,462953,490916,516564,542957,569130,590260,606063,624926,652050,684345,715067,743303,766136,787858
"48157","Fort Bend, TX","3","Per capita personal income (dollars) 2/",33356,36177,35139,34283,35216,37775,40984,44602,49076,45952,46775,49474,52507,54317,58759,61598,54204,55217,57540
"48159","Franklin, TX","1","Personal income (thousands of dollars)",226850,254931,263369,271794,276869,283811,286808,310059,310818,315462,325592,341294,354432,357284,368512,378688,383455,406135,427729
"48159","Franklin, TX","2","Population (persons) 1/",9459,9521,9536,9597,9731,10745,10755,10799,10604,10601,10609,10563,10638,10616,10568,10606,10673,10780,10766
"48159","Franklin, TX","3","Per capita personal income (dollars) 2/",23982,26776,27618,28321,28452,26413,26667,28712,29311,29758,30690,32310,33318,33655,34871,35705,35928,37675,39730
"48161","Freestone, TX","1","Personal income (thousands of dollars)",343635,370355,376876,395009,414813,446084,486905,507542,539214,530791,575865,624254,664281,684204,723318,727096,685251,698276,734199
"48161","Freestone, TX","2","Population (persons) 1/",17902,18127,18395,18483,18684,18843,19123,19162,19446,19743,19802,19599,19480,19595,19674,19745,19663,19654,19808
"48161","Freestone, TX","3","Per capita personal income (dollars) 2/",19195,20431,20488,21371,22202,23674,25462,26487,27729,26885,29081,31851,34101,34917,36765,36824,34850,35528,37066
"48163","Frio, TX","1","Personal income (thousands of dollars)",254195,273504,288249,297028,288006,296860,305333,328841,355211,360490,392751,427799,487664,502847,536520,545105,504514,529716,545838
"48163","Frio, TX","2","Population (persons) 1/",16203,16315,16467,16477,16532,16618,16720,16776,16939,17120,17258,17493,17929,18406,18946,19269,19373,19564,19816
"48163","Frio, TX","3","Per capita personal income (dollars) 2/",15688,16764,17505,18027,17421,17864,18262,19602,20970,21057,22758,24455,27200,27320,28318,28289,26042,27076,27545
"48165","Gaines, TX","1","Personal income (thousands of dollars)",274501,318931,344888,378288,387647,416029,409236,426273,426997,459369,594307,591452,673299,742136,694882,720727,666256,727063,752616
"48165","Gaines, TX","2","Population (persons) 1/",14473,14451,14453,14747,14978,15331,15707,16187,16641,17163,17589,17912,18315,18820,19350,20241,20480,20635,20901
"48165","Gaines, TX","3","Per capita personal income (dollars) 2/",18966,22070,23863,25652,25881,27136,26054,26334,25659,26765,33789,33020,36762,39433,35911,35607,32532,35234,36009
"48167","Galveston, TX","1","Personal income (thousands of dollars)",7401422,7823536,8065911,8369914,8601326,9174818,10139210,11030734,11508693,11561816,11900489,12758249,13583310,13969498,15061497,16055764,15878412,16587472,17497755
"48167","Galveston, TX","2","Population (persons) 1/",250675,254521,260096,265269,269760,274806,279182,283770,288643,287428,292476,295576,301053,306614,313426,321003,328822,334304,337890
"48167","Galveston, TX","3","Per capita personal income (dollars) 2/",29526,30738,31011,31553,31885,33387,36318,38872,39872,40225,40689,43164,45119,45561,48054,50017,48289,49618,51785
"48169","Garza, TX","1","Personal income (thousands of dollars)",98194,105849,108149,117533,127917,138681,154001,170487,214526,173443,206610,225409,226781,238489,235231,194038,169491,182630,197811
"48169","Garza, TX","2","Population (persons) 1/",4904,5275,5385,5531,5800,5742,5996,6049,6158,6368,6469,6576,6438,6392,6456,6418,6504,6559,6578
"48169","Garza, TX","3","Per capita personal income (dollars) 2/",20023,20066,20083,21250,22055,24152,25684,28184,34837,27237,31938,34278,35225,37311,36436,30233,26060,27844,30072
"48171","Gillespie, TX","1","Personal income (thousands of dollars)",531462,584363,615939,659268,728474,786996,833475,921902,1020460,1032482,1037896,1108027,1247049,1231040,1331800,1414170,1439653,1521528,1623285
"48171","Gillespie, TX","2","Population (persons) 1/",20902,21104,21585,22128,22454,22858,23487,23787,24206,24608,24887,25053,25193,25385,25495,25954,26259,26530,26804
"48171","Gillespie, TX","3","Per capita personal income (dollars) 2/",25426,27690,28536,29793,32443,34430,35487,38757,42157,41957,41704,44227,49500,48495,52238,54488,54825,57351,60561
"48173","Glasscock, TX","1","Personal income (thousands of dollars)",26487,31077,30523,45069,36988,48533,31913,57197,41641,39676,58723,51988,60727,86700,94572,100562,89886,125066,141777
"48173","Glasscock, TX","2","Population (persons) 1/",1407,1351,1339,1332,1290,1273,1202,1164,1218,1224,1232,1238,1280,1271,1327,1379,1363,1360,1388
"48173","Glasscock, TX","3","Per capita personal income (dollars) 2/",18825,23003,22795,33836,28673,38125,26550,49138,34188,32415,47665,41994,47443,68214,71268,72924,65947,91960,102145
"48175","Goliad, TX","1","Personal income (thousands of dollars)",146974,168884,168922,182345,181049,191611,212401,215128,216572,207294,218955,254428,280288,304405,333856,314883,303530,312846,332620
"48175","Goliad, TX","2","Population (persons) 1/",7007,7020,7051,7135,7071,7070,7121,7142,7164,7157,7219,7208,7332,7451,7505,7510,7506,7548,7584
"48175","Goliad, TX","3","Per capita personal income (dollars) 2/",20975,24058,23957,25556,25604,27102,29827,30122,30231,28964,30330,35298,38228,40854,44484,41928,40438,41448,43858
"48177","Gonzales, TX","1","Personal income (thousands of dollars)",424155,461158,475830,481503,487875,501858,479210,496893,541564,545872,600845,619436,668551,731786,862924,910059,790264,857019,902643
"48177","Gonzales, TX","2","Population (persons) 1/",18642,18714,18882,19181,19370,19656,19633,19512,19538,19628,19798,19760,19937,20156,20366,20532,20817,20796,20826
"48177","Gonzales, TX","3","Per capita personal income (dollars) 2/",22753,24642,25200,25103,25187,25532,24408,25466,27718,27811,30349,31348,33533,36306,42371,44324,37962,41211,43342
"48179","Gray, TX","1","Personal income (thousands of dollars)",551655,601049,592900,606641,620074,703650,782080,867245,975644,814817,846342,946775,1011048,1065168,1093439,1006318,876404,933885,963417
"48179","Gray, TX","2","Population (persons) 1/",22578,22171,21940,21762,21551,21776,22100,22438,22772,22719,22469,22657,22919,22995,23435,23251,22721,22121,21895
"48179","Gray, TX","3","Per capita personal income (dollars) 2/",24433,27110,27024,27876,28772,32313,35388,38651,42844,35865,37667,41787,44114,46322,46658,43281,38572,42217,44002
"48181","Grayson, TX","1","Personal income (thousands of dollars)",2597388,2699669,2752858,2857696,2999785,3158882,3426414,3688255,3941638,3806774,3904991,4127422,4340610,4435681,4709054,4890971,5129521,5335477,5653755
"48181","Grayson, TX","2","Population (persons) 1/",110939,112330,113239,114421,114998,115666,117174,118331,118834,120069,121030,121417,121854,122371,123615,125647,128331,131214,133991
"48181","Grayson, TX","3","Per capita personal income (dollars) 2/",23413,24033,24310,24975,26086,27310,29242,31169,33169,31705,32265,33994,35621,36248,38095,38926,39971,40662,42195
"48183","Gregg, TX","1","Personal income (thousands of dollars)",3053465,3255213,3251927,3422311,3501611,3862925,4410610,4684361,5490240,5071625,5105271,5741744,5655696,5575493,5824562,5537761,5319284,5306692,5616460
"48183","Gregg, TX","2","Population (persons) 1/",111255,111791,112767,113775,114541,115402,117118,118260,119157,121238,121987,122657,123098,123255,123174,123915,123551,123123,123707
"48183","Gregg, TX","3","Per capita personal income (dollars) 2/",27446,29119,28838,30080,30571,33474,37660,39611,46076,41832,41851,46811,45945,45235,47287,44690,43053,43101,45401
"48185","Grimes, TX","1","Personal income (thousands of dollars)",422820,481528,486878,524892,522094,567617,610061,681559,725396,732599,770088,791204,853453,860056,934709,946163,903696,949710,1005370
"48185","Grimes, TX","2","Population (persons) 1/",23601,24219,24736,25016,25209,25350,25639,26046,26273,26422,26615,26652,26683,26796,27003,27305,27505,27977,28360
"48185","Grimes, TX","3","Per capita personal income (dollars) 2/",17915,19882,19683,20982,20711,22391,23794,26168,27610,27727,28934,29686,31985,32096,34615,34652,32856,33946,35450
"48187","Guadalupe, TX","1","Personal income (thousands of dollars)",2101750,2373907,2486644,2596796,2853355,3099746,3401743,3789799,4159006,4299811,4507777,4851485,5156207,5451488,5860646,6282017,6504927,6898974,7334889
"48187","Guadalupe, TX","2","Population (persons) 1/",89841,92626,95246,98137,101495,105585,111878,117667,123398,128265,132596,135810,139656,142909,146848,150665,154638,159841,163694
"48187","Guadalupe, TX","3","Per capita personal income (dollars) 2/",23394,25629,26108,26461,28113,29358,30406,32208,33704,33523,33996,35723,36921,38147,39910,41695,42066,43161,44809
"48189","Hale, TX","1","Personal income (thousands of dollars)",767795,781150,786697,813617,824673,864835,861298,893880,957264,965604,1100704,1073640,1059259,1076746,1049848,1041424,1011526,1047994,1091460
"48189","Hale, TX","2","Population (persons) 1/",36581,35876,35598,35553,36259,36066,36162,36080,35662,35926,36270,36383,36257,35682,34463,34066,34163,34044,33830
"48189","Hale, TX","3","Per capita personal income (dollars) 2/",20989,21774,22099,22885,22744,23979,23818,24775,26843,26878,30348,29509,29215,30176,30463,30571,29609,30784,32263
"48191","Hall, TX","1","Personal income (thousands of dollars)",62229,69143,71507,79114,74046,81418,79461,90010,81371,104027,107920,92929,86407,110344,97701,92306,79187,82297,91385
"48191","Hall, TX","2","Population (persons) 1/",3749,3750,3709,3699,3665,3613,3582,3440,3398,3343,3359,3312,3267,3164,3074,3096,3115,3059,3028
"48191","Hall, TX","3","Per capita personal income (dollars) 2/",16599,18438,19279,21388,20204,22535,22183,26166,23947,31118,32129,28058,26448,34875,31783,29815,25421,26903,30180
"48193","Hamilton, TX","1","Personal income (thousands of dollars)",201767,220098,222008,230194,242596,259486,284567,307401,345695,333406,320883,367905,391922,414288,427341,449097,444811,478646,515349
"48193","Hamilton, TX","2","Population (persons) 1/",8239,8169,8069,8225,8181,8263,8389,8452,8497,8527,8465,8388,8248,8240,8159,8079,8231,8394,8484
"48193","Hamilton, TX","3","Per capita personal income (dollars) 2/",24489,26943,27514,27987,29654,31403,33921,36370,40684,39100,37907,43861,47517,50278,52377,55588,54041,57022,60744
"48195","Hansford, TX","1","Personal income (thousands of dollars)",185590,197803,178260,191804,188801,226485,210894,227149,251035,228010,267434,305929,342129,300683,365558,437707,300193,335448,344157
"48195","Hansford, TX","2","Population (persons) 1/",5347,5299,5242,5216,5209,5258,5293,5365,5512,5556,5601,5581,5535,5548,5562,5647,5580,5483,5463
"48195","Hansford, TX","3","Per capita personal income (dollars) 2/",34709,37328,34006,36772,36245,43074,39844,42339,45543,41039,47748,54816,61812,54197,65724,77511,53798,61180,62998
"48197","Hardeman, TX","1","Personal income (thousands of dollars)",101286,106902,104639,109888,106149,106300,109939,116028,127640,126287,131494,142927,142385,148276,150955,153595,150282,150597,149866
"48197","Hardeman, TX","2","Population (persons) 1/",4718,4609,4547,4534,4474,4417,4409,4296,4187,4086,4159,4159,4098,4066,3991,3915,3969,3964,3922
"48197","Hardeman, TX","3","Per capita personal income (dollars) 2/",21468,23194,23013,24236,23726,24066,24935,27008,30485,30907,31617,34366,34745,36467,37824,39232,37864,37991,38212
"48199","Hardin, TX","1","Personal income (thousands of dollars)",1081168,1142932,1168216,1235652,1279722,1395807,1528238,1670234,1866609,1861736,1918525,2038988,2147634,2145138,2287409,2389574,2431993,2530607,2630490
"48199","Hardin, TX","2","Population (persons) 1/",48162,48463,49045,49472,50220,51141,51470,52446,53206,54228,54783,55061,55117,55301,55508,55761,56260,57159,57207
"48199","Hardin, TX","3","Per capita personal income (dollars) 2/",22449,23584,23819,24977,25482,27293,29692,31847,35083,34332,35020,37031,38965,38790,41209,42854,43228,44273,45982
"48201","Harris, TX","1","Personal income (thousands of dollars)",117190139,121873270,119865021,124910872,135104123,147019877,164403866,172491940,191298678,177142510,187913356,204733407,226007159,224782947,242830238,245771961,233826878,250502446,265351328
"48201","Harris, TX","2","Population (persons) 1/",3414239,3471291,3536682,3586133,3630185,3681829,3807435,3863344,3938580,4034866,4107828,4179796,4264193,4355158,4458709,4561939,4629189,4664159,4698619
"48201","Harris, TX","3","Per capita personal income (dollars) 2/",34324,35109,33892,34832,37217,39931,43180,44648,48570,43903,45745,48982,53001,51613,54462,53874,50511,53708,56474
"48203","Harrison, TX","1","Personal income (thousands of dollars)",1357078,1366310,1457932,1514608,1601946,1738753,1904714,1985119,2268171,2132418,2299786,2472876,2567167,2531677,2697478,2706751,2602779,2649058,2796985
"48203","Harrison, TX","2","Population (persons) 1/",62040,62256,62062,62018,62583,62811,63699,63661,64107,65185,65769,66345,66271,66288,66610,66710,66640,66540,66726
"48203","Harrison, TX","3","Per capita personal income (dollars) 2/",21874,21947,23492,24422,25597,27682,29902,31183,35381,32713,34968,37273,38737,38192,40497,40575,39057,39812,41917
"48205","Hartley, TX","1","Personal income (thousands of dollars)",174762,172917,172478,166242,147446,170657,164461,165319,172459,159484,222172,323846,313781,308563,370139,463033,305311,367676,350981
"48205","Hartley, TX","2","Population (persons) 1/",5561,5601,5364,5789,5800,5794,5911,6047,5820,5970,6064,6030,6088,6001,6056,5700,5737,5721,5619
