GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; White alone,Margin of Error; White alone,Estimate; Black or African American alone,Margin of Error; Black or African American alone,Estimate; American Indian and Alaska Native alone,Margin of Error; American Indian and Alaska Native alone,Estimate; Asian alone,Margin of Error; Asian alone,Estimate; Native Hawaiian and Other Pacific Islander alone,Margin of Error; Native Hawaiian and Other Pacific Islander alone,Estimate; Some other race alone,Margin of Error; Some other race alone,Estimate; Two or more races:,Margin of Error; Two or more races:,Estimate; Two or more races: - Two races including Some other race,Margin of Error; Two or more races: - Two races including Some other race,"Estimate; Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Two or more races: - Two races excluding Some other race, and three or more races"
5001100US4801,4801,"Congressional District 1 (111th Congress), Texas",710414,2361,542821,5718,128595,3118,3583,1920,4625,488,167,262,19486,4296,11137,2270,2520,1315,8617,2001
5001100US4802,4802,"Congressional District 2 (111th Congress), Texas",749676,17463,501654,16120,154227,6941,2016,814,19652,2971,2324,1000,51899,6456,17904,3984,4088,1264,13816,3815
5001100US4803,4803,"Congressional District 3 (111th Congress), Texas",872895,13758,586022,13202,84613,6373,3448,1038,98537,4669,432,420,74164,9294,25679,4377,6335,2563,19344,3339
5001100US4804,4804,"Congressional District 4 (111th Congress), Texas",818462,9585,671195,9196,86551,6040,5141,1255,12952,2581,904,649,20249,3815,21470,4353,4403,1791,17067,3912
5001100US4805,4805,"Congressional District 5 (111th Congress), Texas",723374,12627,549366,11403,97424,6648,3662,1005,16526,3729,457,652,40121,6985,15818,3139,3604,1684,12214,2869
5001100US4806,4806,"Congressional District 6 (111th Congress), Texas",805442,7982,556666,12817,133984,8716,11751,3766,32571,4085,517,521,53847,8342,16106,2970,3057,1194,13049,2645
5001100US4807,4807,"Congressional District 7 (111th Congress), Texas",786667,19979,590520,19221,72031,8443,1543,869,69689,6911,352,373,40285,5384,12247,2841,2753,984,9494,2651
5001100US4808,4808,"Congressional District 8 (111th Congress), Texas",808773,5971,696276,6772,67606,3522,2400,733,11617,986,940,1101,17248,4117,12686,2665,1642,779,11044,2508
5001100US4809,4809,"Congressional District 9 (111th Congress), Texas",738166,20936,311084,17573,261768,13055,3324,2109,76091,8325,299,483,79158,10074,6442,1919,1535,937,4907,1702
