GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - White alone,Margin of Error; Total: - White alone,Estimate; Total: - Black or African American alone,Margin of Error; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Margin of Error; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Margin of Error; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Margin of Error; Total: - Some other race alone,Estimate; Total: - Two or more races:,Margin of Error; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,Margin of Error; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
0400000US48,48,Texas,27862596,*****,20702709,41751,3362283,16932,135275,9522,1300300,10959,25228,3345,1622087,41067,714714,21781,144589,11011,570125,17312
5001500US4801,4801,"Congressional District 1 (115th Congress), Texas",717735,3914,548138,6216,129794,3103,4141,2110,8172,1414,422,411,16021,4325,11047,2116,1690,1041,9357,2087
5001500US4802,4802,"Congressional District 2 (115th Congress), Texas",779662,27763,519314,22524,98647,11786,2275,1073,52196,7164,1160,978,90178,10825,15892,2319,3471,1197,12421,2215
5001500US4803,4803,"Congressional District 3 (115th Congress), Texas",842800,5868,580112,8018,81354,3103,3171,927,129578,3695,822,85,18519,4028,29244,4305,4370,2054,24874,4208
5001500US4804,4804,"Congressional District 4 (115th Congress), Texas",735554,6569,600780,7573,77019,3086,4710,979,8111,780,384,460,26941,4051,17609,2930,811,365,16798,2852
5001500US4805,4805,"Congressional District 5 (115th Congress), Texas",764456,11537,581587,12339,114144,9827,5073,2086,17322,3313,467,533,28865,6402,16998,3678,4725,2475,12273,2677
5001500US4806,4806,"Congressional District 6 (115th Congress), Texas",770255,13806,506922,14746,156540,9716,4581,1972,37335,5131,1731,818,35313,6858,27833,4088,4083,1312,23750,3774
5001500US4807,4807,"Congressional District 7 (115th Congress), Texas",770606,28103,518515,21497,98677,11235,1210,592,78345,9262,205,335,49087,10926,24567,4775,5408,2830,19159,3725
5001500US4808,4808,"Congressional District 8 (115th Congress), Texas",813519,10510,675178,9886,73354,6947,5201,2334,22079,3701,358,430,18252,3575,19097,4571,2866,1594,16231,4273
5001500US4809,4809,"Congressional District 9 (115th Congress), Texas",793923,24052,294780,18222,294728,14932,1403,815,100545,10073,316,296,90716,12225,11435,2691,2975,1522,8460,2290
5001500US4810,4810,"Congressional District 10 (115th Congress), Texas",823296,24329,605730,20438,89491,10710,4979,2129,43861,5832,604,871,56861,8824,21770,4375,2833,1137,18937,3944
5001500US4811,4811,"Congressional District 11 (115th Congress), Texas",759136,5753,671305,8568,31355,2525,3276,1329,8687,971,146,162,29516,5376,14851,2290,3130,1273,11721,2143
5001500US4812,4812,"Congressional District 12 (115th Congress), Texas",770350,16870,608659,16238,66350,8389,4637,1618,27968,4935,1090,1133,37352,7954,24294,4405,3015,1559,21279,3990
5001500US4813,4813,"Congressional District 13 (115th Congress), Texas",707421,5033,605427,6621,36046,2409,5461,1480,14824,1698,700,435,22474,3422,22489,3342,3787,1548,18702,2814
5001500US4814,4814,"Congressional District 14 (115th Congress), Texas",753147,9960,545161,9165,150526,4284,4437,1320,23581,1462,298,252,16637,3843,12507,2961,1594,681,10913,2852
5001500US4815,4815,"Congressional District 15 (115th Congress), Texas",776887,14120,621756,19797,12246,2449,2206,1320,9053,2052,1684,1436,117659,13083,12283,3645,8088,3419,4195,1080
5001500US4816,4816,"Congressional District 16 (115th Congress), Texas",735784,7298,601497,11980,29397,2247,3608,1249,11085,1125,299,316,69933,7882,19965,5164,5524,2239,14441,4741
