GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - White alone,Margin of Error; Total: - White alone,Estimate; Total: - Black or African American alone,Margin of Error; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Margin of Error; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Margin of Error; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Margin of Error; Total: - Some other race alone,Estimate; Total: - Two or more races:,Margin of Error; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,Margin of Error; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
0400000US48,48,Texas,25639373,*****,19075100,20745,3030970,5978,129219,3759,1019260,3268,20974,1129,1773524,17316,590326,11413,154971,5946,435355,7741
5001300US4801,4801,"Congressional District 1 (113th Congress), Texas",702286,1010,540071,2501,126312,845,2944,651,6932,393,394,315,15937,1998,9696,1123,2130,510,7566,959
5001300US4802,4802,"Congressional District 2 (113th Congress), Texas",714222,5935,520284,6684,70944,3118,3949,910,49987,1941,1166,404,52236,3633,15656,1419,4447,674,11209,1266
5001300US4803,4803,"Congressional District 3 (113th Congress), Texas",724951,1486,530924,2890,62383,1516,3051,427,91323,1282,478,109,15529,1760,21263,1583,3899,641,17364,1508
5001300US4804,4804,"Congressional District 4 (113th Congress), Texas",704830,1346,577994,2203,76124,1307,4814,426,6430,447,790,272,22478,1480,16200,1072,2442,401,13758,1022
5001300US4805,4805,"Congressional District 5 (113th Congress), Texas",705642,3128,534438,3813,100665,2832,3478,505,13141,932,630,378,37997,2714,15293,1266,4034,819,11259,950
5001300US4806,4806,"Congressional District 6 (113th Congress), Texas",713938,3301,492540,3438,132973,3327,5737,921,35014,1418,150,115,29748,2359,17776,1595,3620,692,14156,1410
5001300US4807,4807,"Congressional District 7 (113th Congress), Texas",708385,6406,481065,5923,90578,3440,1982,536,68386,2881,372,254,49191,4164,16811,1836,4411,842,12400,1578
5001300US4808,4808,"Congressional District 8 (113th Congress), Texas",721673,3067,602597,4078,60783,1381,2414,575,16042,887,294,111,25141,2407,14402,1178,2656,691,11746,1009
5001300US4809,4809,"Congressional District 9 (113th Congress), Texas",708720,6405,262549,5871,275406,5706,2003,519,78346,2979,281,176,77086,4830,13049,1407,3173,687,9876,1182
5001300US4810,4810,"Congressional District 10 (113th Congress), Texas",720957,6063,551517,5978,73448,2608,3591,814,34891,2098,159,151,41251,3373,16100,1473,3620,866,12480,1174
5001300US4811,4811,"Congressional District 11 (113th Congress), Texas",710994,1097,622036,2909,26515,781,4833,836,5726,315,175,131,36492,2424,15217,1273,4304,595,10913,1166
5001300US4812,4812,"Congressional District 12 (113th Congress), Texas",714739,4549,579242,5331,58286,2536,4772,784,22083,1469,765,362,32674,2628,16917,1455,3517,539,13400,1324
5001300US4813,4813,"Congressional District 13 (113th Congress), Texas",699400,1200,600539,2641,37915,666,5247,522,12554,410,412,146,24632,1914,18101,1063,4468,592,13633,916
5001300US4814,4814,"Congressional District 14 (113th Congress), Texas",703962,1857,499912,2834,142609,1633,2476,436,20083,670,232,98,25384,2110,13266,1258,2649,615,10617,1048
5001300US4815,4815,"Congressional District 15 (113th Congress), Texas",712825,2824,620671,5313,13005,662,2685,758,8645,516,51,46,59128,3677,8640,977,3792,706,4848,623
5001300US4816,4816,"Congressional District 16 (113th Congress), Texas",710356,2328,577893,4280,26027,796,3829,673,8547,456,1050,161,76256,3672,16754,1290,7634,958,9120,985
5001300US4817,4817,"Congressional District 17 (113th Congress), Texas",709510,2877,530849,3388,95017,2019,3258,464,31633,1370,253,113,33298,2156,15202,1422,2924,545,12278,1293
5001300US4818,4818,"Congressional District 18 (113th Congress), Texas",710407,7067,326967,5813,282980,4763,2942,678,25955,1872,499,267,59638,4298,11426,1080,3208,577,8218,902
5001300US4819,4819,"Congressional District 19 (113th Congress), Texas",703351,586,578465,3080,41899,777,3691,447,8736,383,520,188,49507,2681,20533,1455,7683,880,12850,1008
5001300US4820,4820,"Congressional District 20 (113th Congress), Texas",713976,4515,555196,6786,36025,2153,4374,1036,19456,1282,889,404,79058,4044,18978,1443,6813,786,12165,1358
5001300US4821,4821,"Congressional District 21 (113th Congress), Texas",714289,4801,617676,4898,22474,1771,4049,692,20042,1399,781,298,30270,2689,18997,1527,3349,502,15648,1391
5001300US4822,4822,"Congressional District 22 (113th Congress), Texas",725946,4820,461786,4521,93864,3326,2147,561,119829,1950,72,59,29067,2620,19181,2184,4929,875,14252,1782
5001300US4823,4823,"Congressional District 23 (113th Congress), Texas",713442,4118,597103,5459,22576,1188,6191,954,9221,1026,203,113,63707,3659,14441,1321,4923,609,9518,1048
5001300US4824,4824,"Congressional District 24 (113th Congress), Texas",720793,3498,491847,4480,76169,2969,2797,531,80369,2111,2304,453,47318,2803,19989,1426,4653,826,15336,1286
5001300US4825,4825,"Congressional District 25 (113th Congress), Texas",718722,4170,605558,4187,52798,2008,3974,482,17986,1102,2280,482,17659,1682,18467,1221,2626,488,15841,1154
5001300US4826,4826,"Congressional District 26 (113th Congress), Texas",725214,3237,588439,4977,49938,1575,3203,685,36906,1652,558,233,18402,2244,27768,2308,5076,1140,22692,1963
5001300US4827,4827,"Congressional District 27 (113th Congress), Texas",704490,1714,594772,3715,39017,865,2713,474,9510,387,360,155,41046,3034,17072,1601,4880,900,12192,1209
5001300US4828,4828,"Congressional District 28 (113th Congress), Texas",710874,3614,608217,5066,31288,1635,3020,716,6512,636,312,313,48428,3371,13097,1548,4961,1055,8136,965
5001300US4829,4829,"Congressional District 29 (113th Congress), Texas",715491,6096,503968,7073,72110,3161,5014,1070,12369,1407,75,67,112338,5574,9617,1323,4915,879,4702,929
5001300US4830,4830,"Congressional District 30 (113th Congress), Texas",709475,4588,296305,4916,316574,3256,2306,454,13083,1111,337,174,67330,3460,13540,1278,3424,780,10116,1095
5001300US4831,4831,"Congressional District 31 (113th Congress), Texas",719948,2062,553268,2852,81149,1967,3251,579,30606,802,1827,360,23541,1836,26306,1731,3861,704,22445,1587
5001300US4832,4832,"Congressional District 32 (113th Congress), Texas",709158,3753,455559,3985,85594,2996,2070,342,53961,1785,699,238,85203,3621,26072,1702,6508,890,19564,1581
5001300US4833,4833,"Congressional District 33 (113th Congress), Texas",706780,5502,425124,7362,113893,3564,4111,880,14130,1178,166,101,136484,4913,12872,1321,5182,752,7690,1115
5001300US4834,4834,"Congressional District 34 (113th Congress), Texas",705858,2123,630951,3061,10181,564,1507,335,4051,440,52,39,51607,2564,7509,693,4403,604,3106,447
5001300US4835,4835,"Congressional District 35 (113th Congress), Texas",714116,6106,490857,6537,66972,2628,6188,1046,9710,938,980,369,118453,4701,20956,1742,7182,881,13774,1537
