GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - White alone,Margin of Error; Total: - White alone,Estimate; Total: - Black or African American alone,Margin of Error; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Margin of Error; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Margin of Error; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Margin of Error; Total: - Some other race alone,Estimate; Total: - Two or more races:,Margin of Error; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,Margin of Error; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
0400000US48,48,Texas,25674681,*****,19149157,45618,3011795,13895,128773,11133,999118,10194,18726,4172,1770210,43137,596902,18892,155873,12345,441029,16945
5001200US4801,4801,"Congressional District 1 (112th Congress), Texas",731785,2055,563963,5322,134425,2859,2200,820,7055,556,196,264,15030,3964,8916,2079,1625,1007,7291,1868
5001200US4802,4802,"Congressional District 2 (112th Congress), Texas",798167,19790,527395,17850,182749,12038,4147,2474,26663,3946,512,709,42904,8396,13797,3976,3195,1667,10602,3665
5001200US4803,4803,"Congressional District 3 (112th Congress), Texas",871241,16638,557765,16483,92042,9629,2559,1113,110984,6474,431,398,71049,11042,36411,6511,8384,2867,28027,5197
5001200US4804,4804,"Congressional District 4 (112th Congress), Texas",856105,10192,690690,11721,93351,5615,6896,1625,13505,3468,1329,1058,31532,5940,18802,2936,2780,1219,16022,2681
5001200US4805,4805,"Congressional District 5 (112th Congress), Texas",745295,11439,553232,12032,101542,7896,2970,1199,18603,3618,1944,1851,49148,8514,17856,3621,3928,1815,13928,3131
5001200US4806,4806,"Congressional District 6 (112th Congress), Texas",828785,11043,581059,14450,147190,11122,5816,2262,42314,5987,330,324,34679,7646,17397,2875,4264,1602,13133,2563
5001200US4807,4807,"Congressional District 7 (112th Congress), Texas",815993,30338,550965,21777,97243,14326,1721,1226,78962,8742,535,854,62795,12952,23772,4593,7598,2569,16174,4044
5001200US4808,4808,"Congressional District 8 (112th Congress), Texas",848871,4576,725696,7449,68523,3376,5300,2443,12652,1534,0,218,20741,4543,15959,3433,1513,987,14446,3142
