GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; White alone,Margin of Error; White alone,Estimate; Black or African American alone,Margin of Error; Black or African American alone,Estimate; American Indian and Alaska Native alone,Margin of Error; American Indian and Alaska Native alone,Estimate; Asian alone,Margin of Error; Asian alone,Estimate; Native Hawaiian and Other Pacific Islander alone,Margin of Error; Native Hawaiian and Other Pacific Islander alone,Estimate; Some other race alone,Margin of Error; Some other race alone,Estimate; Two or more races:,Margin of Error; Two or more races:,Estimate; Two or more races: - Two races including Some other race,Margin of Error; Two or more races: - Two races including Some other race,"Estimate; Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Two or more races: - Two races excluding Some other race, and three or more races"
5001000US4801,4801,"Congressional District 1 (110th Congress), Texas",703337,5107,519723,6454,124678,3044,2255,755,3992,763,169,196,42265,4415,10255,2113,1100,589,9155,1924
5001000US4802,4802,"Congressional District 2 (110th Congress), Texas",759249,18333,507812,13781,150731,8383,2652,1115,24201,4318,626,854,60677,6946,12550,2617,3962,1682,8588,1893
5001000US4803,4803,"Congressional District 3 (110th Congress), Texas",831319,16781,571205,15956,96398,8559,3437,1416,85098,5437,106,176,61478,10376,13597,2582,4311,1603,9286,2285
5001000US4804,4804,"Congressional District 4 (110th Congress), Texas",792111,9846,646993,10300,79554,4205,5033,1269,16053,3338,290,219,28823,4561,15365,2158,2812,978,12553,2068
5001000US4805,4805,"Congressional District 5 (110th Congress), Texas",703264,14792,551750,13760,88244,7181,3968,1197,13859,3553,139,219,36920,5759,8384,1634,3633,1212,4751,1235
5001000US4806,4806,"Congressional District 6 (110th Congress), Texas",774982,16895,538311,16867,122467,8599,4854,1605,32005,4106,747,669,58257,7364,18341,3230,5678,1533,12663,2789
5001000US4807,4807,"Congressional District 7 (110th Congress), Texas",782163,22108,560568,18159,66348,7990,1683,836,69721,7054,967,727,71434,10449,11442,2989,2505,1139,8937,2612
5001000US4808,4808,"Congressional District 8 (110th Congress), Texas",770842,6051,650805,8308,67455,2674,3477,1150,9259,970,81,140,30815,5487,8950,1574,1906,789,7044,1474
5001000US4809,4809,"Congressional District 9 (110th Congress), Texas",690772,22232,257904,17333,264481,12808,1443,738,62838,6102,1183,1049,96776,10250,6147,1893,1841,910,4306,1510
5001000US4810,4810,"Congressional District 10 (110th Congress), Texas",898647,22036,619933,18075,94660,7469,5107,2208,50945,5492,543,519,107620,13217,19839,3242,6541,2033,13298,2233
5001000US4811,4811,"Congressional District 11 (110th Congress), Texas",679474,6396,572124,7716,24684,2350,3344,1316,5374,1474,260,319,54820,5389,18868,2754,4779,1415,14089,2516
5001000US4812,4812,"Congressional District 12 (110th Congress), Texas",770083,15525,591567,15997,45427,5179,5110,1538,18541,3502,117,191,95931,10023,13390,2290,5285,1723,8105,1450
5001000US4813,4813,"Congressional District 13 (110th Congress), Texas",657226,6964,517744,7045,38825,1485,5985,1212,8982,1276,330,303,71300,6051,14060,2164,4036,949,10024,1802
5001000US4814,4814,"Congressional District 14 (110th Congress), Texas",728745,11063,562223,10675,62756,5185,2908,1015,20966,2365,517,429,60879,5869,18496,2732,6047,1874,12449,2553
5001000US4815,4815,"Congressional District 15 (110th Congress), Texas",738337,16050,529055,19027,13954,2022,3396,1168,7384,1434,19,31,175557,14337,8972,2255,6088,1733,2884,1348
5001000US4816,4816,"Congressional District 16 (110th Congress), Texas",702998,4993,534384,12857,20178,1270,3625,1380,7792,885,112,133,120303,11008,16604,2935,9456,2362,7148,1879
5001000US4817,4817,"Congressional District 17 (110th Congress), Texas",732285,7143,589994,7797,73784,2917,4364,1480,13278,825,1249,884,38821,5099,10795,2548,2797,1039,7998,2203
5001000US4818,4818,"Congressional District 18 (110th Congress), Texas",683309,19675,292388,16940,262726,11770,2693,1401,19691,3704,714,785,97316,8368,7781,2069,3881,1635,3900,1301
5001000US4819,4819,"Congressional District 19 (110th Congress), Texas",656619,6106,536488,8867,35833,1590,3479,1371,6640,589,364,357,61612,6386,12203,1938,4733,1195,7470,1496
5001000US4820,4820,"Congressional District 20 (110th Congress), Texas",680539,18584,380234,14187,50309,4806,6054,1374,13902,2226,1428,918,212809,14892,15803,2866,9582,2268,6221,1678
5001000US4821,4821,"Congressional District 21 (110th Congress), Texas",802272,17280,650543,14560,55547,6005,1911,822,24888,3485,446,473,51243,7656,17694,2780,6172,1706,11522,2157
5001000US4822,4822,"Congressional District 22 (110th Congress), Texas",852032,23187,575841,17934,103533,8551,2309,1004,89332,5662,0,287,66358,7578,14659,3081,3794,1267,10865,2675
5001000US4823,4823,"Congressional District 23 (110th Congress), Texas",777141,16619,546750,18603,23255,3436,3036,1392,11944,2691,282,246,176502,13929,15372,3352,7875,2608,7497,1821
5001000US4824,4824,"Congressional District 24 (110th Congress), Texas",770834,22524,513769,14547,103190,8960,3659,1746,66070,6821,2937,1167,64886,8469,16323,3877,4836,1925,11487,3417
5001000US4825,4825,"Congressional District 25 (110th Congress), Texas",770313,11903,482697,11729,63299,4585,3503,1262,19252,2426,570,632,186440,12736,14552,2728,5742,1526,8810,2383
5001000US4826,4826,"Congressional District 26 (110th Congress), Texas",864572,18608,653948,15232,108230,8791,2597,952,26759,3673,210,406,48738,8522,24090,4029,2299,858,21791,3919
5001000US4827,4827,"Congressional District 27 (110th Congress), Texas",713074,10023,578730,12659,16375,1728,2431,977,6671,908,357,368,95423,8159,13087,2702,7005,1736,6082,1872
5001000US4828,4828,"Congressional District 28 (110th Congress), Texas",785784,13928,565280,16391,10501,1383,3867,1773,3852,1074,232,261,189321,12980,12731,3385,8189,2784,4542,1712
5001000US4829,4829,"Congressional District 29 (110th Congress), Texas",667840,22801,341477,18864,67522,8836,4134,1647,9283,3078,0,287,237364,17115,8060,2350,5847,2042,2213,893
5001000US4830,4830,"Congressional District 30 (110th Congress), Texas",693071,19442,282685,16360,269101,9254,3015,1129,8799,2633,235,423,121587,12474,7649,1769,2741,1008,4908,1434
5001000US4831,4831,"Congressional District 31 (110th Congress), Texas",811354,3966,602325,7080,101789,3220,3272,961,23131,1522,1396,1225,50170,6098,29271,4442,7344,2579,21927,3241
5001000US4832,4832,"Congressional District 32 (110th Congress), Texas",659792,20982,478905,19230,51720,6412,2608,1313,26342,4251,427,466,92243,9158,7547,1382,1851,752,5696,1358
