GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - White alone,Margin of Error; Total: - White alone,Estimate; Total: - Black or African American alone,Margin of Error; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Margin of Error; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Margin of Error; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Margin of Error; Total: - Some other race alone,Estimate; Total: - Two or more races:,Margin of Error; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,Margin of Error; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
5001400US4801,4801,"Congressional District 1 (114th Congress), Texas",707224,1082,544512,2169,127028,784,2966,496,7578,426,719,519,14757,1446,9664,1029,2047,471,7617,1001
5001400US4802,4802,"Congressional District 2 (114th Congress), Texas",727414,6914,518493,6676,75574,3244,3987,886,51842,2234,1131,376,59221,4541,17166,1372,4433,905,12733,1135
5001400US4803,4803,"Congressional District 3 (114th Congress), Texas",747659,1495,541405,2834,64897,1514,2964,452,96980,1403,430,131,17343,1735,23640,1728,3845,867,19795,1517
5001400US4804,4804,"Congressional District 4 (114th Congress), Texas",709974,1655,579463,2383,76040,1022,4482,452,6993,508,663,229,25049,1667,17284,1013,2367,462,14917,942
5001400US4805,4805,"Congressional District 5 (114th Congress), Texas",715045,3257,539591,4144,104264,2587,3754,624,13370,1010,609,380,36907,2530,16550,1420,3864,806,12686,1192
5001400US4806,4806,"Congressional District 6 (114th Congress), Texas",722690,3518,500187,4437,137354,3204,4689,883,34290,1560,351,179,25660,2603,20159,1769,4175,857,15984,1544
5001400US4807,4807,"Congressional District 7 (114th Congress), Texas",727295,5740,494581,5728,92088,3403,2112,591,73501,2874,376,242,45981,3520,18656,1847,4181,845,14475,1765
5001400US4808,4808,"Congressional District 8 (114th Congress), Texas",740003,2896,616849,4215,61354,1343,2852,769,17933,1040,243,145,24952,2749,15820,1319,2909,778,12911,1148
5001400US4809,4809,"Congressional District 9 (114th Congress), Texas",726971,7518,265459,6685,278320,5266,1755,442,82174,3229,403,277,84079,4710,14781,1810,3687,851,11094,1524
