GEO.id,GEO.id2,GEO.display-label,HC01_VC02,HC02_VC02,HC01_VC03,HC02_VC03,HC01_VC04,HC02_VC04,HC01_VC05,HC02_VC05,HC01_VC06,HC02_VC06,HC01_VC07,HC02_VC07,HC01_VC08,HC02_VC08,HC01_VC09,HC02_VC09,HC01_VC10,HC02_VC10,HC01_VC11,HC02_VC11,HC01_VC12,HC02_VC12,HC01_VC13,HC02_VC13,HC01_VC14,HC02_VC14,HC01_VC15,HC02_VC15,HC01_VC16,HC02_VC16,HC01_VC17,HC02_VC17,HC01_VC18,HC02_VC18,HC01_VC19,HC02_VC19,HC01_VC20,HC02_VC20,HC01_VC21,HC02_VC21,HC01_VC22,HC02_VC22,HC01_VC23,HC02_VC23,HC01_VC24,HC02_VC24,HC01_VC25,HC02_VC25,HC01_VC26,HC02_VC26,HC01_VC27,HC02_VC27,HC01_VC28,HC02_VC28,HC01_VC29,HC02_VC29,HC01_VC30,HC02_VC30,HC01_VC31,HC02_VC31,HC01_VC33,HC02_VC33,HC01_VC34,HC02_VC34,HC01_VC35,HC02_VC35,HC01_VC36,HC02_VC36,HC01_VC37,HC02_VC37,HC01_VC38,HC02_VC38,HC01_VC39,HC02_VC39,HC01_VC41,HC02_VC41,HC01_VC42,HC02_VC42,HC01_VC43,HC02_VC43,HC01_VC44,HC02_VC44,HC01_VC45,HC02_VC45,HC01_VC46,HC02_VC46,HC01_VC47,HC02_VC47
5000600US4810,4810,"Congressional District 10 (106th Congress), Texas",791117,100.0,768256,97.1,533878,67.5,75111,9.5,4630,0.6,2704,0.3,36,0.0,2,0.0,1888,0.2,36137,4.6,9070,1.1,8832,1.1,1905,0.2,1325,0.2,3957,0.5,7354,0.9,3027,0.4,667,0.1,555,0.1,202,0.0,83,0.0,105,0.0,157,0.0,8,0.0,117945,14.9,22861,2.9,12903,1.6,9958,1.3,8839,1.1,1119,0.1,791117,100.0,227879,28.8,174213,22.0,3081,0.4,1586,0.2,48999,6.2,563238,71.2,791117,100.0,768256,97.1,217039,27.4,551217,69.7,22861,2.9,10840,1.4,12021,1.5
5000600US4811,4811,"Congressional District 11 (106th Congress), Texas",663275,100.0,645324,97.3,466207,70.3,108807,16.4,4143,0.6,2959,0.4,44,0.0,0,0.0,1140,0.2,10038,1.5,1220,0.2,964,0.1,2062,0.3,630,0.1,3413,0.5,760,0.1,796,0.1,193,0.0,1649,0.2,309,0.0,410,0.1,673,0.1,224,0.0,33,0.0,54480,8.2,17951,2.7,7432,1.1,10519,1.6,9394,1.4,1125,0.2,663275,100.0,108628,16.4,77252,11.6,8884,1.3,503,0.1,21989,3.3,554647,83.6,663275,100.0,645324,97.3,101863,15.4,543461,81.9,17951,2.7,6765,1.0,11186,1.7
5000600US4812,4812,"Congressional District 12 (106th Congress), Texas",661753,100.0,645474,97.5,492436,74.4,56919,8.6,4595,0.7,3047,0.5,29,0.0,0,0.0,1519,0.2,13989,2.1,1934,0.3,791,0.1,885,0.1,396,0.1,839,0.1,4603,0.7,4306,0.7,235,0.0,1068,0.2,129,0.0,85,0.0,122,0.0,699,0.1,33,0.0,76467,11.6,16279,2.5,9349,1.4,6930,1.0,6330,1.0,600,0.1,661753,100.0,165633,25.0,137371,20.8,1861,0.3,556,0.1,25845,3.9,496120,75.0,661753,100.0,645474,97.5,157508,23.8,487966,73.7,16279,2.5,8125,1.2,8154,1.2
5000600US4813,4813,"Congressional District 13 (106th Congress), Texas",597401,100.0,583543,97.7,443655,74.3,51020,8.5,4930,0.8,3505,0.6,39,0.0,1,0.0,1385,0.2,8257,1.4,1306,0.2,910,0.2,910,0.2,518,0.1,671,0.1,2230,0.4,1574,0.3,138,0.0,291,0.0,108,0.0,61,0.0,72,0.0,50,0.0,0,0.0,75390,12.6,13858,2.3,7044,1.2,6814,1.1,6225,1.0,589,0.1,597401,100.0,147101,24.6,103389,17.3,1059,0.2,291,0.0,42362,7.1,450300,75.4,597401,100.0,583543,97.7,140414,23.5,443129,74.2,13858,2.3,6687,1.1,7171,1.2
5000600US4814,4814,"Congressional District 14 (106th Congress), Texas",688604,100.0,674139,97.9,521030,75.7,62817,9.1,3664,0.5,2221,0.3,34,0.0,4,0.0,1405,0.2,5164,0.7,885,0.1,895,0.1,555,0.1,253,0.0,262,0.0,1699,0.2,512,0.1,103,0.0,309,0.0,102,0.0,66,0.0,76,0.0,63,0.0,2,0.0,81155,11.8,14465,2.1,9028,1.3,5437,0.8,4921,0.7,516,0.1,688604,100.0,191789,27.9,142460,20.7,1121,0.2,480,0.1,47728,6.9,496815,72.1,688604,100.0,674139,97.9,183408,26.6,490731,71.3,14465,2.1,8381,1.2,6084,0.9
5000600US4815,4815,"Congressional District 15 (106th Congress), Texas",780310,100.0,762971,97.8,599649,76.8,13809,1.8,3671,0.5,1672,0.2,17,0.0,0,0.0,1982,0.3,4605,0.6,858,0.1,446,0.1,2132,0.3,323,0.0,325,0.0,198,0.0,261,0.0,62,0.0,295,0.0,90,0.0,40,0.0,82,0.0,83,0.0,0,0.0,140942,18.1,17339,2.2,14874,1.9,2465,0.3,2158,0.3,307,0.0,780310,100.0,615454,78.9,504362,64.6,1353,0.2,489,0.1,109250,14.0,164856,21.1,780310,100.0,762971,97.8,600782,77.0,162189,20.8,17339,2.2,14672,1.9,2667,0.3
5000600US4816,4816,"Congressional District 16 (106th Congress), Texas",620847,100.0,600913,96.8,461298,74.3,18847,3.0,5126,0.8,2906,0.5,22,0.0,1,0.0,2197,0.4,6199,1.0,903,0.1,987,0.2,1257,0.2,911,0.1,1523,0.2,234,0.0,317,0.1,67,0.0,592,0.1,149,0.0,138,0.0,191,0.0,106,0.0,8,0.0,108851,17.5,19934,3.2,15283,2.5,4651,0.7,4082,0.7,569,0.1,620847,100.0,484488,78.0,406425,65.5,3835,0.6,517,0.1,73711,11.9,136359,22.0,620847,100.0,600913,96.8,468830,75.5,132083,21.3,19934,3.2,15658,2.5,4276,0.7
5000600US4817,4817,"Congressional District 17 (106th Congress), Texas",618958,100.0,607250,98.1,520668,84.1,24896,4.0,3787,0.6,2614,0.4,30,0.0,0,0.0,1143,0.2,3328,0.5,604,0.1,424,0.1,902,0.1,224,0.0,273,0.0,285,0.0,546,0.1,70,0.0,227,0.0,73,0.0,43,0.0,65,0.0,43,0.0,3,0.0,54344,8.8,11708,1.9,6127,1.0,5581,0.9,5159,0.8,422,0.1,618958,100.0,128083,20.7,94553,15.3,919,0.1,220,0.0,32391,5.2,490875,79.3,618958,100.0,607250,98.1,122270,19.8,484980,78.4,11708,1.9,5813,0.9,5895,1.0
5000600US4818,4818,"Congressional District 18 (106th Congress), Texas",606441,100.0,590704,97.4,235344,38.8,244852,40.4,2562,0.4,1277,0.2,6,0.0,0,0.0,1279,0.2,18520,3.1,2701,0.4,3119,0.5,1141,0.2,258,0.0,574,0.1,8010,1.3,2372,0.4,345,0.1,250,0.0,51,0.0,42,0.0,62,0.0,95,0.0,0,0.0,89176,14.7,15737,2.6,11307,1.9,4430,0.7,3796,0.6,634,0.1,606441,100.0,202596,33.4,156279,25.8,1343,0.2,909,0.1,44065,7.3,403845,66.6,606441,100.0,590704,97.4,192366,31.7,398338,65.7,15737,2.6,10230,1.7,5507,0.9
5000600US4819,4819,"Congressional District 19 (106th Congress), Texas",607535,100.0,595205,98.0,492025,81.0,18479,3.0,4006,0.7,2677,0.4,18,0.0,0,0.0,1311,0.2,5956,1.0,1616,0.3,1140,0.2,1003,0.2,230,0.0,502,0.1,589,0.1,770,0.1,106,0.0,202,0.0,80,0.0,31,0.0,38,0.0,51,0.0,2,0.0,74537,12.3,12330,2.0,7773,1.3,4557,0.8,4201,0.7,356,0.1,607535,100.0,158759,26.1,109681,18.1,629,0.1,211,0.0,48238,7.9,448776,73.9,607535,100.0,595205,98.0,151509,24.9,443696,73.0,12330,2.0,7250,1.2,5080,0.8
