GEONAME,LNTITLE,GEOID,LNNUMBER,TOT_EST,TOT_MOE,ADU_EST,ADU_MOE,CIT_EST,CIT_MOE,CVAP_EST,CVAP_MOE
United States,Total,01000US,1,316515020,,242831195,7115,294245830,113369,222464710,110965
United States,Not Hispanic or Latino,01000US,2,262282815,2052,206356455,5851,252841080,44122,197841780,43185
United States,American Indian or Alaska Native Alone,01000US,3,2093380,8238,1524500,5709,2082060,8419,1514210,5846
United States,Asian Alone,01000US,4,16247130,22515,12872230,12515,11681655,19022,8755455,15558
United States,Black or African American Alone,01000US,5,39005490,28082,28873685,13258,37468520,27417,27520240,14414
United States,Native Hawaiian or Other Pacific Islander Alone,01000US,6,508810,4053,374050,2661,437095,3526,311590,3044
United States,White Alone,01000US,7,197734595,3068,159148070,2751,194655805,21608,156326140,18952
United States,American Indian or Alaska Native and White,01000US,8,1518450,8168,1110240,5618,1514775,8238,1106995,5660
United States,Asian and White,01000US,9,1720430,21942,849635,12212,1619160,21758,767310,11974
United States,Black or African American and White,01000US,10,2023885,21911,703230,9337,2002765,21957,684845,9400
United States,American Indian or Alaska Native and Black or African American,01000US,11,289330,5862,214755,4283,287585,5762,213345,4170
United States,Remainder of Two or More Race Responses,01000US,12,1141315,12921,686065,7523,1091655,11998,641650,6848
United States,Hispanic or Latino,01000US,13,54232205,2037,36474740,2416,41404745,77946,24622925,74253
